N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
5,25521.14499615198,158486.04633344602,148872.21636397878,1760.174005323485,1468.5348356418224,2741.383735321974,2800.1994393704285,489609.86380531534,489598.0835763874,4952.07391794753,[ 0.58506537  0.50323109 -0.63596932],[-0.80256168  0.47201022 -0.36483023],[0.1165901  0.72385414 0.68003083]
677,119751.29006793171,12739.91309148033,91325.54856525862,12675.41067389871,9029.100666948521,21599.903987656046,19123.66693556155,3986059.40896597,3970770.353257378,483137.9327678701,[ 0.13100937 -0.99078363 -0.03441422],[-0.60177511 -0.10706229  0.79145713],[-0.78784723 -0.08297868 -0.61025509]
196,98021.84715375533,169344.86064662485,176928.49222627547,5125.543183047061,15548.789110911563,7806.2362378964435,7007.933008871069,3701091.42244701,3695308.5527553265,233922.16094412172,[-0.91792807  0.14567696  0.36903425],[ 0.13963294 -0.75201947  0.64418115],[-0.37136329 -0.6428413  -0.66995848]
2742,97541.18136710391,142341.9160269033,85714.8297502402,29964.767608650287,28643.551554015387,35032.211851069704,30266.53512219134,10458539.669168398,10240496.580993645,2341967.164305696,[ 0.33166083 -0.64380688  0.68957508],[-0.80500451  0.18799441  0.56269515],[-0.49190327 -0.74173499 -0.45591707]
2052,124128.0863546976,98617.86566823682,137351.01983600136,29932.78906187672,23419.96425729677,21483.322250914734,19929.29772055955,9662284.998658694,9594006.833600612,1728475.3413023879,[ 0.50285241 -0.85000341  0.15695115],[ 0.62602031  0.23293072 -0.74420552],[0.59601848 0.47248014 0.64924917]
1703,23942.74588569172,42414.12584330298,34413.034406376464,13816.155713549742,17971.327412761806,24100.306106610977,17900.14419903744,2761981.4228454633,2607749.9594706637,1188660.735027327,[-0.8930264   0.44476448  0.06847191],[-0.2152966  -0.55589181  0.80288957],[-0.39515974 -0.70225982 -0.59218235]
841,19069.982333723667,145626.75134521772,27770.68480051706,12474.309912699557,12112.866541660198,10144.558163530939,12291.515175282997,4366672.766585427,4356666.198988951,461013.1674863706,[-0.45490765 -0.10975634  0.88374916],[ 0.88137132 -0.19751396  0.42915362],[0.12745046 0.97413643 0.18658671]
612,20387.778205419814,109871.83450782202,80629.12051902802,11190.69628933198,16275.163835053101,13605.681314386413,14040.223092123031,3450287.3377737454,3436546.004867098,481368.6046387421,[-0.98868943  0.1226465   0.08631944],[-0.00249568 -0.58892416  0.80818445],[-0.1499566  -0.798828   -0.58256918]
55,40036.00380961409,48277.82799585941,100239.66051989699,4765.129859710656,4493.60770757432,5350.780547910097,3989.079646904008,878903.4846884047,877702.6595706146,54892.31974143067,[ 0.6500912  -0.75280581  0.10327069],[ 0.68047255  0.51629335 -0.51999835],[0.33813981 0.40831922 0.84790146]
11,145562.29056306471,47444.90411275628,81590.80563963772,3786.468641115376,2309.7667675963926,2539.6790178426468,4100.250973362045,575608.2541909484,575559.8252914336,10139.673612048335,[-0.49044496  0.75433056  0.43640479],[-0.23536024 -0.59680993  0.76708765],[-0.83908837 -0.27350193 -0.47024185]
