N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
21,164253.96959046315,126503.01633820447,98401.63037229168,4454.239126946028,2759.3387043439925,4103.918456502622,4098.031670562025,1052060.1259685957,1051856.2312248184,23861.030906720116,[-0.59502849  0.15986248  0.78764527],[ 0.36542328 -0.81904828  0.44229599],[-0.71582604 -0.55100264 -0.42893959]
904,102440.93648273208,88945.3761274149,162857.0745421921,23862.12757363247,22566.645816176755,10410.675776150554,24757.047973849763,6445564.999127239,6428648.867528967,709143.692553341,[ 0.65971874 -0.75150386 -0.00362444],[-0.57121824 -0.50457466  0.64739025],[0.48834508 0.42502513 0.76215007]
480,163518.06082033925,193015.11146006378,14671.312354337822,13337.991491856668,7975.406603064715,9677.102289408318,10600.668990758462,5562766.4481293,5559684.382303296,327407.436096193,[-0.36211259  0.23807688  0.90121799],[-0.67200699  0.60334183 -0.42940103],[-0.64597297 -0.76111631 -0.05848835]
480,188710.95109881667,47364.687748913304,145801.13270652233,12034.017863818564,19585.32292209614,15226.913686426891,12264.79262181881,5357905.128509098,5336976.2316734735,536718.7072281534,[-0.41894444 -0.55292553  0.72024921],[ 0.47269835 -0.81006275 -0.34692163],[0.77526888 0.19511972 0.60073826]
100,178953.76879381214,127490.15758897182,178615.1483242441,7779.291591956835,6155.371735746796,5005.106800270293,8230.973529556852,2833401.7880272707,2833243.470276775,74630.63728955672,[-0.19764766  0.88058462 -0.43070422],[-0.74923754  0.14762314  0.64563962],[0.63212223 0.45030893 0.63058969]
2000,81201.21670306924,172207.03925744715,123563.2178841683,33276.494495892504,17734.221414813,26433.65054089949,19317.917101241772,10339313.598343043,10201756.075256199,1890003.3627814786,[ 0.47331084 -0.64929657  0.59530733],[-0.8051456  -0.04470266  0.59139009],[-0.35737574 -0.75922042 -0.54393653]
1087,171212.31730867847,98364.56081995394,64513.780785555464,13599.40718899502,25059.974158835994,22620.825074622335,24780.410702644174,6939452.34648375,6912588.492274965,866471.0466288449,[ 0.05839429 -0.61934504  0.78294433],[-0.57161788  0.62224104  0.53485427],[-0.81843944 -0.47877741 -0.31769337]
505,165648.00368172096,187922.08812767203,189734.18709274134,13507.279491841244,10377.342767249544,12705.28070212316,11902.963036187926,7074560.008051433,7070644.895680454,391435.1467747227,[-0.64642206 -0.17916825  0.74164496],[ 0.5512681  -0.78169478  0.29164491],[-0.52748648 -0.59737092 -0.60407449]
1050,109255.75450102027,120515.81860481267,53450.333440898765,19749.083900337002,16172.754332312794,12309.071701541627,14938.08034302842,5609768.081406545,5583303.194072333,781764.3864088209,[ 0.0037937  -0.40705644  0.91339513],[-0.76897725  0.58272233  0.26288529],[-0.63926489 -0.70337738 -0.31080647]
237,187652.6769186318,182362.89033455023,113440.6544074889,12194.920047164434,6149.429650297984,10060.207969231022,7236.178413007862,4397578.6268162215,4392810.251359312,235315.54760436638,[ 0.31674752 -0.71427387  0.62408641],[-0.68294748  0.28485207  0.67263812],[-0.65822014 -0.6392747  -0.39758535]
60,82339.05074625627,88292.69138424845,111123.57072094096,4463.660782381013,6876.3381825626675,5797.187151946644,2499.3932905493484,1272839.0618133761,1271668.7803797089,75426.17883207885,[-0.86357277  0.35587121  0.35720828],[-0.04877165 -0.7640634   0.643295  ],[-0.50185994 -0.5381104  -0.67718077]
89,60733.21105740432,53478.27691729887,69719.23452966721,2929.0619941140435,10888.322090682019,9478.596780446045,5932.873429116864,1015904.0093682014,1010371.2424117775,128656.512959404,[ 0.82377874 -0.34390184 -0.45068849],[ 0.00122935 -0.79390369  0.60804228],[0.56691011 0.50144636 0.65357821]
184,82675.05721089421,41359.41173889256,190380.75209459712,7899.184551156407,16207.835828321184,9022.342549510287,9642.595300109802,2882578.1155253686,2875169.4241775847,238061.96700254967,[ 0.79684826  0.41730184 -0.43691193],[ 0.46173116 -0.88700537 -0.00507951],[0.38966292 0.19768826 0.89948995]
40,31492.51463134301,198485.46493602084,38940.92053159906,6178.80800863245,4901.430491625852,8658.632096836256,3970.866648131493,1296521.0432748257,1295206.8932523993,69415.13367848226,[ 0.88521939 -0.22077884  0.40944272],[-0.43888528 -0.10469065  0.89242343],[0.15416338 0.9696889  0.18957078]
1452,26662.10810282939,44930.040155224604,25516.28881403304,13718.786664918314,16099.182533129653,15278.594605850496,16040.52020532262,2383720.123842815,2340871.107717268,795451.9671141333,[-0.77816054  0.10624739  0.61901347],[ 0.43127115 -0.62610402  0.64961446],[-0.45658666 -0.77246699 -0.44138801]
29,162821.78681636608,138985.2246229878,126842.00516590559,3640.0054802028635,4687.788381063181,6262.286650868928,3257.868067438671,1340665.1223692165,1340243.722770742,43025.7412183756,[-0.75311114  0.42059029  0.5058927 ],[ 0.06804354 -0.71503875  0.69576553],[-0.6543651  -0.5584115  -0.50988519]
