N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
520,174315.3333899042,122152.00503615849,80745.45530001403,11138.075906828888,12080.807592426834,10782.43104933242,10239.071773101137,5207460.647600024,5199671.838610837,383833.0025650807,[-0.51486225  0.18020786  0.83811813],[ 0.38515799 -0.82480214  0.41395017],[-0.7658787  -0.53593521 -0.35525099]
52,31979.718409751673,16590.66726894881,150636.4959375442,4628.601324356718,6178.624256896364,3642.6647002835816,3628.4931028395863,1118458.9750914248,1117311.1102279564,55960.636223743044,[-0.76323437 -0.60433319  0.22859285],[ 0.61233927 -0.78944814 -0.04257062],[-0.20618904 -0.10748502 -0.9725909 ]
437,13844.27768531411,49512.47942339346,152519.96429112967,9725.442085295634,12738.226515861434,14082.122575607655,13973.321092805067,3389245.11431038,3382473.8783344515,333300.3079401166,[ 0.91647212 -0.39754307  0.04514827],[-0.3905957  -0.86454237  0.31623014],[0.08668251 0.30745082 0.94760758]
3812,99809.97491830822,123238.01613822876,136935.31901609566,32636.791151936774,44600.66136676992,28960.063459735,18782.4784269596,13346775.250674816,13149936.504990224,3650220.1876226207,[-0.85640608  0.15414082  0.49275677],[ 0.19312304 -0.78947772  0.58260485],[-0.47882368 -0.59410903 -0.64634538]
872,174468.83705001327,84622.64630592568,52796.10262329571,15149.904928345135,12016.48875503644,19762.252966511307,16519.358445790225,5982332.744444475,5961646.436849711,663328.5742683801,[-0.47579606  0.8562914   0.20095559],[-0.14114395 -0.29984545  0.94348879],[-0.86815695 -0.42054458 -0.26352564]
1205,104897.18328532367,29859.760445392763,81160.61781450198,15020.307413922503,19525.590695740808,20916.116478737415,19528.626524158037,4827244.930015957,4790614.707483701,897981.7491059726,[-0.63832174  0.30413026  0.70714224],[-0.03420538 -0.92894048  0.36864559],[-0.76900933 -0.21112642 -0.6033658 ]
1675,22870.59717731386,41715.88481350267,36280.60737988386,13485.093504887198,18614.35796837857,26111.455544226614,18277.79868101582,2784834.8183687176,2589542.0798407905,1258769.939037601,[-0.9003728   0.42947144  0.06987916],[-0.22316297 -0.59365411  0.77315787],[-0.37353328 -0.68053588 -0.63035213]
231,164346.7625448354,152053.1096050616,147138.2517668345,7739.264606534962,8326.674030527909,7493.043250274236,8824.269628360616,4075893.9845385044,4075547.260026368,157653.08018672082,[-0.48576215 -0.27715223  0.82898841],[-0.62273623  0.77525718 -0.10571612],[-0.61337976 -0.567594   -0.54918332]
182,148657.9564034971,81901.78455952212,117715.6671162106,11333.253687442246,7042.955278584548,8115.701501465803,6894.548989288425,2793071.676775491,2789512.81221623,189402.37663172316,[ 0.06850061 -0.85737396  0.51011523],[-0.69036251  0.32838727  0.64464052],[-0.72021335 -0.3963227  -0.56940412]
30,113149.1344100791,82466.21619391303,132217.9134258378,3585.6007259042067,3766.616158318449,3258.488415284641,3226.970546996792,1055222.339003679,1055008.051921529,28676.295975988443,[-0.62162832 -0.30438831  0.72175202],[ 0.51799442 -0.85092015  0.08727354],[-0.5875883  -0.42811522 -0.68662752]
420,145218.22732671833,14897.22393431876,13856.609169982077,13880.101477249207,8763.968544773581,10493.434561219074,13702.231174966733,3026167.109089782,3023726.3767482773,283089.25659183547,[ 0.05292802 -0.91215743  0.40640797],[-0.12726696  0.3974982   0.90873445],[-0.99045532 -0.09981982 -0.09504872]
82,175896.43664312488,72265.97982412067,155344.46650180558,8087.3386463977295,4779.101021018385,8184.68377502665,11217.829787552198,2226241.3238480305,2226008.122912988,48827.62053418163,[-0.57193454  0.76707667  0.29066179],[-0.39979143 -0.57006406  0.71777001],[-0.71628046 -0.29431337 -0.63271   ]
702,171057.83079695128,190246.64660294537,29479.26856798549,16227.163826601327,10635.060577193388,20547.091182455504,11566.216149779711,6856922.864994334,6837918.368830135,681949.4666264113,[ 0.658377   -0.50579644 -0.55741339],[ 0.35244314 -0.44719896  0.82206869],[0.6650741  0.73768764 0.11616102]
13,170035.90632473322,38016.809604007234,197934.8630812938,3005.7463614421335,2057.5789346714387,2613.393814965959,3259.6369361491543,950895.563603981,950854.3239738502,11151.594472264786,[ 0.57350114  0.55798374 -0.59979212],[ 0.50524947 -0.81724815 -0.27717942],[0.64484061 0.14408194 0.75061374]
389,192011.81572417903,136534.50152507148,39645.73363346653,9831.885105334337,10795.441901885093,18663.252923899934,12192.692760926962,4731164.592515778,4722411.932010122,401948.7058130346,[-0.58477704  0.8101909   0.04033015],[-0.11307003 -0.13064128  0.98496093],[-0.80327516 -0.5714224  -0.16800433]
32,67378.23051913413,122567.93137982575,153787.41946183465,5236.0298847093145,4431.498241584559,6739.666788948709,5816.183857640508,1177045.7670206074,1176549.487398168,43173.34273849683,[-0.8314818  -0.19543419  0.52004181],[ 0.45102955 -0.78400522  0.42650693],[-0.32436145 -0.58918698 -0.74003267]
