N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
424,163712.45481125,194446.2195940412,14307.84249599616,14208.942622377283,6262.483289203959,9185.086967651845,10136.829909283408,5252898.18188245,5249013.58162781,307788.3377295768,[-0.35401127  0.23145974  0.90614702],[-0.67820693  0.60361724 -0.41914388],[-0.64398089 -0.76293684 -0.0567097 ]
452,100947.03620442463,175738.58687246565,188516.56603264803,10507.489732300372,13530.607786459343,12522.308332469427,12687.115461219097,5898647.19159686,5894051.4297070075,362216.59874454234,[-0.73649718 -0.25130162  0.62802818],[ 0.56997399 -0.73053432  0.37609742],[-0.36428225 -0.63495442 -0.68127185]
185,102350.48646580674,192213.50448004185,13645.057362015077,6528.920440901478,7236.7468524094475,7830.330795574009,6607.599216507104,2971683.826508466,2970011.688641912,144437.45570719268,[-0.66320441  0.39793643 -0.6338821 ],[-0.58334689  0.255773    0.77089985],[-0.46889906 -0.88103733 -0.0625052 ]
411,50461.729688618434,159058.4328177592,135118.3201777473,14148.20797978982,12465.7982540271,9448.753443417654,10245.279124422577,4367476.847970938,4364007.362299639,377967.8108896302,[ 0.11392192 -0.66329211  0.73963868],[-0.96532896  0.10209699  0.24024197],[-0.23486549 -0.74136346 -0.628664  ]
95,14823.489022239239,99221.80959988065,168110.5778576097,6029.959213969108,8190.36392583355,5161.638147946426,6531.814890038287,1910696.4517036667,1909837.1059679445,91611.62412173826,[-0.78970936 -0.4953924   0.36186393],[ 0.60886387 -0.70513158  0.36342021],[-0.07512607 -0.50732221 -0.85847554]
79,27258.96183654377,99625.64026307999,31324.744063450296,6003.057555979993,6397.917670757996,6615.296043711648,6167.9976286185465,963195.6144829182,962038.9802190373,80256.9860126562,[ 0.42941256 -0.37583948  0.82118788],[ 0.86770192 -0.08041112 -0.49053789],[0.25039614 0.92318944 0.2915871 ]
49,88269.12373725764,183679.11691623452,88296.35405751891,7094.387602483782,5642.994430604349,3757.820666243497,6886.036522444868,1555871.8617957793,1555714.6607011575,48686.51775810816,[-0.32671951 -0.27694679  0.90363424],[-0.85726607  0.4893937  -0.15996465],[-0.39793121 -0.82691855 -0.39731156]
224,48008.198828242275,72990.83904055858,114469.18261280819,8144.263300311351,6815.667784457298,9731.592340672792,7147.628361072459,2163197.6815282623,2160570.1494313185,187175.1778211212,[ 0.6499893  -0.73440263  0.19536295],[-0.68326058 -0.45222428  0.57327845],[-0.33266933 -0.50610866 -0.79572931]
360,11507.296784042699,48218.50309578889,148734.01325231715,8687.316284520877,14100.919041212028,11983.690187347338,11962.20682305754,2995826.5776014985,2987555.0809477204,312241.8828151427,[-0.96718999  0.25394074 -0.00759047],[-0.24320087 -0.9168185   0.3166973 ],[-0.07346326 -0.30815247 -0.94849629]
13,5170.796512431262,113414.83483087026,183337.9132971441,3733.6827235276355,2046.2875081685584,2352.5951521033458,2241.220693096735,777681.470965773,777591.7778084824,15541.551519222068,[-0.18462332 -0.83349464  0.52076954],[-0.98252056  0.16937265 -0.07724149],[-0.02382375 -0.52592736 -0.85019576]
3438,129533.58229830679,117851.78824964174,124379.37780388155,34668.41694644727,30516.080218298084,31902.42660046432,22593.646964541902,12916949.811656708,12777705.703054419,2965572.055189442,[-0.68164794  0.7313205   0.02294366],[-0.40553571 -0.40371971  0.82009218],[-0.60901303 -0.54970968 -0.57177128]
797,18535.54613070469,145756.39411186927,26828.657106456503,12656.54279323045,11651.046396043488,10213.709224402546,11900.802316973828,4247904.889661391,4236261.973947956,454727.02834970556,[-0.46834902 -0.10336366  0.87747658],[ 0.87487548 -0.19302547  0.44422298],[0.12345882 0.97573414 0.18083362]
22,30081.622930824327,184712.8535022032,189906.31500813662,4985.860541783476,3348.4589409560754,2879.099277752377,3102.012565168994,1250879.0642351715,1250746.634090374,27656.939669073847,[-0.26689649 -0.66934084  0.69336073],[-0.95708927  0.26837679 -0.10933446],[-0.11289991 -0.6927891  -0.71224776]
328,144581.65435016554,17888.86478562018,177477.36241215927,7181.7250916673565,7657.020947162109,15002.082800250028,14537.934130296604,4169399.784588032,4169047.377935609,201918.39010657283,[-0.59956087  0.68194108  0.41890707],[-0.49531973 -0.72730714  0.47506071],[-0.62863752 -0.07733488 -0.77384378]
6,36602.08481977338,181791.11665591595,99569.40310712834,2592.403428333343,1575.903593828991,738.3264760516053,1523.3426290728344,515619.81251398526,515587.0264408057,6684.4500209935295,[-0.02543433 -0.4762631   0.8789349 ],[-0.98443154  0.16489452  0.06086323],[-0.17391846 -0.86370322 -0.4730424 ]
4,71430.6169177773,127537.48290024138,101542.84377985976,1119.4548047058045,1470.0863393924185,1904.1037307773174,1617.3141110466377,356005.5160070211,355993.6994147169,4196.630369302027,[ 0.898853   -0.18834703 -0.39571288],[ 0.17608671 -0.67163371  0.71965382],[0.40131877 0.71654278 0.57053457]
23,105452.47950476738,151094.8971024594,33375.441834378216,4019.2839197278095,3319.02039522666,3500.5348601856053,3979.1047282660975,898489.9546911835,898286.2460252293,23378.595798663337,[-0.60497551  0.25562812  0.75409475],[ 0.56281728 -0.53264391  0.63208162],[-0.56324181 -0.80681146 -0.1783646 ]
18,51501.19420470055,28283.91037300254,124209.95287551366,3665.4519983503046,4556.312505841301,3180.725011747152,3549.372791376584,583612.7349862843,583190.137484167,24029.767598438637,[-0.67816012 -0.60391212  0.41879471],[ 0.63220439 -0.76995215 -0.08655227],[-0.37472185 -0.20606756 -0.90394673]
244,137768.5487305975,196891.6947746023,83488.13999745068,15166.399538515912,6864.876018682462,14680.480284966638,10409.161097875623,3986255.859933348,3979976.150411483,302924.2145020493,[ 0.63551903 -0.12095128 -0.76255253],[ 0.54927171 -0.62327042  0.55662785],[0.54260129 0.77259612 0.32966509]
3,174249.0227700339,172839.28527178118,33526.52240410125,805.3145049321939,1187.471790379744,555.222182122439,1182.1466033071158,429053.88686504104,429051.36241538695,1703.224667109074,[ 0.57371409 -0.44502079 -0.68761082],[ 0.41955698 -0.56133391  0.71335557],[0.70343733 0.69775407 0.1353336 ]
701,17325.88047826753,110072.61619843128,87927.89955792302,10651.607303267929,13259.351505436936,19057.719177962725,16012.863809162478,3810880.28828396,3790288.7037096857,521946.04418040026,[-0.92098011  0.32182645 -0.21959821],[-0.37016165 -0.54692442  0.75090214],[-0.12155655 -0.77285277 -0.62283433]
34,197763.13652787326,28989.412973643877,19758.6034999035,2997.7995450557555,6407.343653257757,5250.1917946869835,3886.1380554099123,1171963.4804642745,1171686.5178545546,46050.421775391005,[-0.02644141 -0.43420636  0.90042528],[-0.17315989  0.88911324  0.4236665 ],[-0.98453873 -0.1447152  -0.09869653]
18,106726.7997565279,121459.42279117515,166682.1516769357,3990.2878633823843,2790.026168844541,4653.845106396918,5229.275891366754,985579.2248842748,985533.284573274,18020.66643006364,[ 0.39440031  0.60401212 -0.69254441],[-0.79573079  0.60142941  0.07138053],[0.45963128 0.52292641 0.71783498]
11,57897.236540701284,173490.52816373509,18278.069529120272,1006.619723156706,1842.4276805578113,1990.2244542050662,1746.8869559705652,609687.1513403831,609655.7196645606,7661.661181097529,[ 0.82514303 -0.32409827  0.46270865],[-0.46898549  0.06363717  0.88091028],[0.31494696 0.94388062 0.09948762]
110,85378.58485163042,190389.60751796453,108605.20161713363,5382.999354178761,5679.60938976159,5848.007916167829,6471.009593559441,2468760.2450488787,2468508.0511908396,76819.57616686249,[-0.81000469  0.51903151 -0.2729445 ],[-0.46054797 -0.27490183  0.84399322],[-0.36302613 -0.8093425  -0.46171068]
4,101169.26873313668,99387.516693539,13575.876704004255,747.9628258814364,548.8628231190811,489.25053949134366,862.1686470944204,284945.30055484583,284943.47600846365,1192.6446467296944,[ 0.60411075 -0.67319506  0.42644884],[-0.36163713  0.24526753  0.89947897],[0.71011886 0.69760465 0.09528358]
435,49443.402849253354,182248.37204038966,166456.23027123263,12961.547791864634,14797.19738347348,10037.527855624261,10961.889363126858,5264882.09144331,5260915.725093501,396488.30701772746,[-0.93479875  0.34203386 -0.09572954],[-0.29519992 -0.59831344  0.74490136],[-0.19750522 -0.72459221 -0.66027102]
19,159228.20073405383,144372.76405971238,45590.822562215886,3366.6835379094114,2726.683650039654,5703.077137166104,4232.216180850703,958158.1593254373,957977.5570678376,25206.655765890428,[-0.64848633  0.75221087 -0.11680873],[-0.23310024 -0.05014883  0.97115878],[-0.72465837 -0.65701134 -0.20786137]
71,54056.24691750519,13277.203722684177,189410.31024986506,5765.97598896903,7835.3376653282585,5395.143337079843,5129.783736161986,1665767.794444077,1664418.1777079995,83059.71472928856,[-0.82555064 -0.49552749  0.27003454],[ 0.49344478 -0.86603001 -0.08064903],[-0.27382183 -0.06666728 -0.95946708]
4,130204.28433265926,2546.6914142207584,149026.18108679942,3040.5530768548374,1353.5046369151423,1572.0513654491112,1415.5498131927823,395882.0128447259,395837.3092446256,6796.642031794503,[-0.17607417 -0.9695221   0.17036659],[-0.73218695  0.24466821  0.63564121],[-0.65795149 -0.0128202  -0.75295118]
1063,103332.31907622494,125913.46596589887,45534.45195538411,25691.117855347853,9459.784325804121,17802.777662727356,17069.66212764433,5591757.633458753,5569346.049346128,892460.2880370705,[-0.1243718  -0.25083366  0.96000736],[-0.77648578  0.62695571  0.06321687],[-0.61773901 -0.73756967 -0.27274438]
