N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
218,192366.41987678435,177946.72857226257,113069.78028083863,6529.516507390766,10063.330028136794,9838.918653014649,6531.583656435958,4218709.643782655,4216533.4997229045,206184.89084134612,[-0.73867717  0.5780685   0.34668841],[-0.01260824 -0.52608848  0.85033637],[-0.67394145 -0.62375293 -0.39589798]
524,94244.97793979332,42975.613318802934,73402.15922266168,10178.759751953823,13124.510360507184,11022.1944548121,11020.266426595757,2935315.9694694043,2923869.495090007,376611.1624264542,[-0.63294113  0.64013044  0.43545212],[-0.22035044 -0.68814163  0.69130803],[-0.74218004 -0.34160522 -0.57660616]
189,114653.50619352101,25613.890229428198,31982.188991534775,10582.772853771858,15167.60221229756,8564.095243411488,8941.599611267175,1695304.2185493815,1680414.5080443001,250554.2055530145,[-0.30895834  0.23258117  0.92219886],[ 0.12556527 -0.95117505  0.28195637],[-0.94275029 -0.20290892 -0.26466934]
340,163213.62988335243,77808.18376666248,122619.12628712891,19524.303878291375,9538.24331652647,7189.324181405886,15178.822830905638,4048023.1915640053,4040436.364606158,315944.22260643536,[-0.26014835 -0.61991597  0.74028847],[ 0.60896173 -0.7003199  -0.37244819],[0.74932533 0.35391556 0.55969217]
3731,99761.2080581629,126404.99516557998,135096.44617011104,34291.82712725954,38453.157160111536,24957.453130495585,20842.531576465186,13153167.876222882,13059228.424744906,3254218.462279077,[ 0.76072212  0.07843206 -0.64432156],[ 0.4400247  -0.79206275  0.42310149],[0.47715838 0.60538006 0.63705169]
1928,178863.6661333316,109157.80144665074,52816.36440648372,14998.312819642475,26289.393066790468,22358.464716741724,22060.912331298874,9592002.940648621,9575565.600473706,1351471.125633332,[-0.56160944  0.6899339   0.45671222],[ 0.0648401  -0.51358682  0.85558421],[-0.82485793 -0.51011744 -0.24369982]
56,53643.79239248212,16137.689498465626,189811.0292833956,6460.06926802143,7068.561023195964,6047.965380723356,5326.927098292051,1482966.948768293,1481962.119817564,74770.50962808989,[-0.70322694 -0.66378585  0.25467669],[ 0.65736251 -0.74351227 -0.1227356 ],[-0.2708254  -0.08110392 -0.95920579]
75,137869.13458409478,143066.55355773174,3691.8177958766005,8673.491488210044,6221.048636134234,2398.709052144992,4859.889117347908,1723470.0575099182,1721600.6552389485,84438.32718834335,[ 0.07578905 -0.09857346  0.99223953],[-0.71588149  0.68730951  0.12296069],[-0.69409632 -0.71964499 -0.01847638]
874,20634.492155749103,108464.83884665619,79131.75510081176,11404.385037139118,13151.72202779731,24157.05611881697,18434.668591954993,4100236.684027714,4068395.74511382,663693.3760633558,[-0.91733717  0.33381276 -0.21693678],[-0.36945424 -0.51081142  0.77625721],[-0.14831077 -0.7922378  -0.59191484]
243,47037.63287141944,73789.30901359639,113586.40363099596,10049.398328215231,6800.3357571010565,9369.907923557465,6063.023128791965,2244509.190810781,2240610.85443974,218797.60909388206,[ 0.38575369 -0.83864364  0.38453991],[-0.86266017 -0.18008352  0.47263871],[-0.32712615 -0.51404939 -0.79293235]
284,137931.7301478469,199036.92594386564,82263.75588040859,13530.720227506414,4278.970373145113,14484.651221521512,10080.039423121118,4321002.748857278,4316025.8622088805,293707.74433503154,[-0.74255178  0.25986996  0.61732039],[ 0.39574796 -0.57335239  0.71739152],[-0.54037062 -0.77700363 -0.32290083]
55,195493.69910624245,197576.72192231106,69097.82590624828,4524.221602340999,6180.299124695315,6113.286935097943,3705.1217484632434,2124859.8440122437,2124661.379942729,67253.22949797729,[ 0.43513246 -0.6486805   0.62439839],[-0.58725147  0.32120532  0.74294203],[-0.68249209 -0.68995706 -0.24117172]
888,18738.176231686328,142824.16195124428,26679.105114903905,13137.924007837571,12641.5874497645,11524.404960838603,12215.90554302041,4401708.522876833,4392227.429861434,524792.2313318609,[-0.52346403 -0.08984776  0.84729735],[ 0.84247332 -0.20323666  0.49893242],[0.12737393 0.97499858 0.18208142]
242,197003.17452515624,44063.183163247435,154342.14037348912,6192.336928417022,14771.784474501275,13234.727427662832,12204.730509798923,3964382.441642407,3959522.7957849205,261305.73950195062,[-0.50797315 -0.40189047  0.76187094],[ 0.37744451 -0.89890075 -0.22251533],[-0.77427316 -0.17453219 -0.60830879]
1306,101555.53294558226,119492.6414103232,46709.794181129044,25534.399019641613,16792.782488516405,19186.423223876194,19970.3831088022,6025073.906776993,5993967.7746250825,1051285.6557653288,[-0.23266588 -0.18188338  0.95539784],[-0.74516133  0.66461722 -0.05494129],[-0.62498095 -0.72470848 -0.29016621]
543,118853.00635941785,14453.193363710867,84300.63175727139,13659.059397202425,9691.211823167368,17162.457479577573,18418.149244186334,3450861.244092556,3445875.6772901607,357057.6960003743,[-0.05553745 -0.9682974   0.24354824],[-0.58496025  0.22923339  0.77799329],[-0.80915827 -0.09925827 -0.57914652]
1838,24465.82345943971,41689.07795531991,36307.68239408353,14168.817463556363,17772.89524188883,25328.00756343869,17467.213187455367,2917988.370760535,2737906.976988407,1296760.0464970341,[-0.90178862  0.40574886  0.14881242],[-0.15440419 -0.62408657  0.76594732],[-0.40365409 -0.66774532 -0.62544349]
97,178457.4465089135,127189.08571804842,178192.64996876614,9418.745320274671,6165.024091917237,3861.7645765287584,8473.168871468924,2783747.766361157,2783559.7706882074,81906.41375606006,[-0.13099224 -0.73998502  0.65974481],[-0.76366765  0.49967608  0.40882213],[-0.63218095 -0.45027324 -0.63055631]
90,63560.659364895066,26901.164841357095,95718.7046518989,5961.626421285788,7089.343888824707,7791.797437268252,6898.034616445907,1123864.0404133594,1123032.881825132,93407.69495929466,[-0.82356424 -0.06330969  0.56367884],[ 0.17917557 -0.97190622  0.15262505],[-0.53818033 -0.22669401 -0.81177076]
106,171956.97753453988,6559.26573972656,107715.22143776454,5897.065843959893,3945.41603536347,13241.64828795642,10278.371072697544,2095509.1971314745,2093241.621356201,112080.53925449598,[ 0.1121804  -0.98649548 -0.11934078],[-0.5212311  -0.16066774  0.83815513],[-0.84601046 -0.03182045 -0.5322159 ]
717,84256.85901327986,181142.5107547232,184222.98647304557,21091.337170831248,13551.507835766684,13687.626300715767,12940.710862522194,7311967.488803303,7290003.776591987,679483.6613081656,[-0.47312376 -0.51061731  0.71793027],[ 0.82434424 -0.54409063  0.15627528],[0.31082227 0.66575922 0.67834665]
142,67562.25387052898,81425.85652227513,26313.562700874834,6883.895211920768,4068.702259012804,13316.244020128095,6493.836054479288,1310245.4271336335,1303589.333109141,168537.20812413233,[-0.75793104  0.64967953 -0.05879657],[-0.20328204 -0.14958242  0.96762674],[-0.61985236 -0.74534663 -0.24544133]
6,2555.82592711572,4629.110059555582,108985.00064326196,851.2857514251787,649.2027298918438,1983.8160344849464,1958.5896681513364,267323.12909896264,267320.4415577606,2720.5812041529066,[-0.13169652 -0.99026529  0.045063  ],[ 0.9910137  -0.13259709 -0.01760289],[0.02340676 0.04233981 0.99882905]
254,88276.83703000964,174979.14311735157,34058.46857187376,10887.238257985633,10830.933094765767,8684.521917854532,12492.498290048174,3180711.210085736,3178594.9114838364,198835.10076883787,[ 0.12041933 -0.24938131  0.96088925],[-0.88794218  0.40576906  0.21658752],[-0.44391201 -0.87929542 -0.17257374]
3,113660.34868296674,59894.516484902124,24684.450669517217,1106.3967106123282,227.82393824329196,940.0805076326757,744.0345324761521,226610.15239395062,226601.11297208336,2198.5176448740044,[-0.30482133  0.7947654  -0.52481608],[-0.3901923   0.39846129  0.83004733],[0.86881179 0.45779532 0.18865184]
531,151726.87639890338,15554.569535789517,175802.99482975405,12612.225717754534,8267.16257479785,14120.00841881443,14420.518939438885,5381005.813522235,5376647.540603072,343351.7009532077,[-0.18441836 -0.95256379  0.24209934],[-0.73571121  0.29712509  0.6086425 ],[-0.6517046  -0.06587034 -0.75560718]
408,168138.11445058795,185778.74099485896,196021.47564299457,11129.051601422017,9710.39113636021,6488.249213983307,8776.873426018012,6432819.705097715,6429858.196841877,272615.88266749633,[-0.23143266 -0.59903991  0.76654426],[-0.81672139  0.5477523   0.18147613],[-0.52858783 -0.58405359 -0.61601648]
348,12438.62003899979,51995.79364593681,152174.84270580122,8760.993822909626,10653.51739717036,13214.440544501767,12461.381066393267,3025830.4713451704,3022045.203416912,268902.0585106402,[-0.94712949  0.31929421 -0.03157434],[-0.31151598 -0.89154231  0.32880101],[-0.0768344  -0.32125304 -0.94387126]
