N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
106,54408.55187425202,171538.843735325,83805.32496509833,6044.0951457108185,7657.080357282466,5648.334235280776,6629.844728601003,2046510.0274359605,2045619.4892600065,94474.80372005986,[-0.75768585  0.46402308 -0.45890602],[-0.59231818 -0.19373267  0.78206574],[-0.27399146 -0.86437853 -0.42163781]
32,81655.37773719923,50404.38618437721,10863.707724787084,5232.445059902009,4182.669165976436,3229.2542169449407,3966.3137891049164,547659.4592520446,546992.0537133988,35865.923813117544,[-0.24786115  0.19805102  0.94833572],[-0.47187677  0.83023514 -0.29671859],[-0.84610706 -0.52104261 -0.11232736]
1982,23859.243211063793,43405.65814628725,37382.315844747194,13729.827333119727,23229.449491013424,25197.677623440188,19744.09247158076,3152672.701885769,2940207.63525657,1443364.1009536434,[-0.92474028  0.33152866  0.1869336 ],[-0.06815082 -0.62745559  0.7756642 ],[-0.37444745 -0.70454825 -0.6028274 ]
971,18414.03203803768,145587.23945844104,32121.570404942642,12049.33669286433,11100.170056381006,15066.612866982447,11783.367300741416,4718559.791145008,4708985.260174597,588980.9288464842,[-0.91529178  0.02607304  0.40194672],[ 0.38372927 -0.24691015  0.88982427],[-0.12244514 -0.96868755 -0.21598984]
715,120170.30485002753,11913.616878945575,89906.8527836108,13942.10837211771,8777.567161283403,21919.18746006256,20836.86932932442,4085161.698472363,4070923.6693201414,476144.4603352714,[ 0.13606746 -0.98936161 -0.05147086],[-0.59300858 -0.1229553   0.79575299],[-0.79361608 -0.07775343 -0.60343014]
476,22024.370128298884,108556.62023502114,85460.10846348765,10108.908373010414,11983.716074686727,11108.668403817235,12165.003492212049,3077496.563578401,3068048.1602158677,317981.83142532146,[ 0.79070595 -0.4702538   0.39197635],[-0.59111158 -0.41986618  0.68869405],[0.15928337 0.77625624 0.60996315]
400,163824.03723999576,194399.12957668735,14776.77639481884,13104.674907130764,6359.00567164013,9038.865591350608,10037.868417260892,5102274.663062825,5099272.99505738,278310.1260418373,[-0.41934321  0.28811792  0.8608945 ],[-0.63975677  0.57902602 -0.50541086],[-0.64409824 -0.7627037  -0.05848524]
2198,178570.77256846215,108945.18914352388,60801.463172944284,15150.367123578893,26754.461013546043,28378.734597438157,22262.054672591734,10354945.19605059,10307940.177266095,1680064.451998973,[-0.57137258  0.77448919  0.27147719],[-0.07932338 -0.38135901  0.92101743],[-0.81684832 -0.50470962 -0.27933318]
46,49970.42931148184,157238.8404316441,18380.39850370831,5000.1040702768605,6827.399393792596,4177.708165372708,6234.481909072486,1127448.5045665535,1127027.604795675,47801.32050619508,[-0.21086345 -0.04756351  0.97635768],[-0.93020326  0.31674039 -0.18546542],[-0.30043053 -0.94731897 -0.1110327 ]
97,179956.79725638032,4230.285979274444,31756.528189059936,7479.593493305044,2709.5124665493963,6255.371575650488,7535.198396099809,1802796.7064541662,1801973.2364159315,66214.92476191139,[ 0.00554525 -0.99496726  0.10004701],[-0.17524055  0.09753342  0.97968259],[-0.98451003 -0.02296488 -0.17381777]
