N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
29,190808.19595823798,75085.98331096332,189559.45298944897,6593.72713671477,6493.655936640001,3470.0085694486625,7503.049832697971,1504644.0700957957,1504412.78109345,34710.06162436131,[-0.69269331  0.53263594  0.48628688],[-0.23051202 -0.80237901  0.55050171],[-0.68340338 -0.26923388 -0.67858156]
936,89870.92168897147,80015.68344252645,160187.2771766083,20615.298294959513,18227.194626383003,14026.16858626289,20007.048280667095,6188273.199337678,6173375.621161805,721940.6324856506,[ 0.58345706 -0.80847699  0.07708963],[ 0.67497608  0.42993672 -0.59963464],[0.45164715 0.40189472 0.79655225]
1993,180211.37994347955,109636.59426639914,57475.163463294804,14010.666265105978,26943.238079292303,24199.943360279674,20485.394656349636,9872701.367652979,9842699.850856207,1480233.8297165406,[-0.56631984  0.67224628  0.47682993],[ 0.06540174 -0.54006772  0.83907656],[-0.82158654 -0.50637121 -0.26188499]
278,146422.06544384942,13000.865008923593,7978.537974960229,14403.560598339867,8493.448032504108,5226.355520073519,13852.81446479728,2470328.0857310225,2467227.579889958,174930.18145352442,[-0.06110172  0.08638347  0.99438648],[-0.08031008  0.99259242 -0.09116241],[-0.99489541 -0.08542944 -0.05371164]
4,128084.29312148463,67179.05395104244,84570.74580313127,693.8085698161017,581.0678147759036,2018.6370487327881,913.408072745234,335115.44849584927,335092.717383708,4029.642699072521,[ 0.54512122 -0.82006063 -0.17419362],[-0.34413001 -0.40834651  0.84547482],[0.76447197 0.40094101 0.50480582]
34,27562.443634517396,58014.474446771834,201186.16835177233,3966.659226256773,4176.213151278923,2307.978974842813,2604.936984681761,1231893.6160474657,1231607.8331405015,32906.56091550241,[-0.72648547 -0.62732686  0.28049933],[ 0.67466275 -0.72868488  0.11767971],[-0.13057197 -0.27473505 -0.95261304]
1342,106994.17262683225,23988.998107508345,77555.19793917754,18838.285585571433,16820.246291610216,24258.4024191407,19990.97382162487,5039388.672135501,5024253.330311664,1032877.6669116642,[ 0.34405756 -0.91594231 -0.20657704],[ 0.50093982  0.36514303 -0.78468457],[0.79415596 0.16649399 0.58446219]
208,129160.51220148602,170307.18949457884,156610.62693418365,8973.951408686627,8668.013296422148,8654.751469300727,7317.050095535248,3825849.7047337354,3825043.1759379725,191844.1550094389,[ 0.59526296 -0.73976236  0.3137095 ],[-0.63880662 -0.19884869  0.74322628],[-0.48743011 -0.64281478 -0.59093235]
449,163219.36383678913,193777.83652639668,14151.55181161909,13275.43588329898,8079.17013876289,9443.171056727697,11018.610529898991,5387684.433285532,5385027.560419247,306784.2420399002,[-0.36137083  0.23833737  0.90144685],[-0.67441367  0.60079135 -0.42920385],[-0.64387679 -0.76304983 -0.05637049]
108,42157.375533976294,166027.83492754362,175862.13877685938,5984.278625486521,6832.557384924984,6627.537115800217,6409.526618281404,2553245.7508988287,2552914.0692321267,95853.11226763488,[-0.79695953 -0.3322302   0.50445873],[ 0.57917136 -0.65743775  0.48201259],[-0.17151107 -0.67631258 -0.71636949]
8,52996.91316075644,163525.33727994008,187153.58243946498,1702.4677444655329,2042.6919898755684,3173.6439163051346,3293.245365086442,718843.8887044196,718817.3149574129,7083.356903829674,[-0.21811087  0.76468511 -0.6063698 ],[-0.95340133 -0.03424219  0.29975553],[0.20845516 0.64349371 0.73652039]
63,15752.90879639853,94874.4035121985,168809.63304399012,6382.835452230938,3821.8986877565726,6082.956543175503,5979.502324735958,1543723.683555086,1543040.7303633608,59786.47360073454,[ 0.01576981 -0.87232612  0.48867008],[-0.99663967  0.02557467  0.07781583],[-0.08037836 -0.48825513 -0.86899151]
17,174989.16990647503,197843.730943348,169378.84447933736,4864.288149981116,4426.054038008937,2289.283708100344,5741.616856659621,1293996.8961063612,1293965.3747109543,16151.858518870285,[-0.25915943  0.75006125 -0.60847721],[-0.78850677  0.19950819  0.58176761],[0.55775753 0.63055896 0.53972394]
1887,107230.54924734354,175341.39632465784,107259.09301684829,48809.83756371088,18201.860216891266,27729.103238492626,23979.888165507262,10377222.555819076,10138934.84772534,2345575.7289740853,[ 0.4052939  -0.6439408   0.64890454],[-0.78209343  0.12330262  0.61084067],[-0.47335686 -0.75507398 -0.45364807]
143,42203.67028533691,14161.347282252877,65562.98964965002,7140.28140671055,4406.696190829356,6681.3452530661425,5835.519760149192,955066.5960609858,951353.2762323653,108692.16519674046,[ 0.06720084 -0.98309797  0.17030099],[-0.84422817  0.03494218  0.53484376],[-0.5317545  -0.17971485 -0.82761085]
658,145564.7206723602,15134.434208478739,174510.86134908206,18339.62032014691,7934.376246123123,13164.683085337758,14427.711333352752,5870795.968232997,5857751.364318859,487688.63373565034,[ 0.01931035 -0.99736043  0.06999491],[-0.76792046  0.03003606  0.63984061],[-0.64025408 -0.06610607 -0.76531347]
8,122136.11986595031,167339.4194035969,19860.311678917467,4489.456924361543,3525.597450895111,2542.1305730094527,5413.878651612996,588892.5311943108,588879.5480967412,8805.965702055986,[ 0.50645287 -0.27246455 -0.81808835],[-0.63162793  0.52864055 -0.56708494],[0.58698522 0.80392925 0.0956353 ]
34,168359.48003907385,13410.974137253606,90579.14732621388,3495.037747467949,5001.684268982457,3577.3830666277395,2979.2410869227683,1118099.7333621485,1117790.122985202,37364.420211614495,[-0.34950448 -0.5799279   0.73588739],[ 0.32573272 -0.81163574 -0.48491816],[-0.87849008 -0.07022153 -0.47257182]
76,10805.527746406568,149388.97589464777,125659.25506487356,4527.778379254233,5117.329164688975,4850.44548459826,4269.224120399932,1705545.7737238551,1705259.2042361673,62741.73682871254,[-0.93608305 -0.18440349  0.29957282],[ 0.34742974 -0.61812915  0.70513044],[-0.05514618 -0.76414116 -0.64268748]
1785,23323.148582610742,44083.675115639504,36244.32246192502,13766.912333589718,21949.11331627212,25049.329438463177,19875.68099886831,2957984.0771363555,2776261.9369276487,1322426.0682783085,[-0.9197112   0.37689936  0.10990083],[-0.14375668 -0.58379816  0.79907054],[-0.36532908 -0.71911514 -0.59110751]
943,100844.45506453387,126393.7990818603,45965.716573952224,25954.892287150335,9746.080017391798,18716.360730084634,17008.083610569804,5237695.971911735,5216248.256563549,872879.044331691,[-0.11365822 -0.26410359  0.95777403],[-0.78675964  0.61261689  0.07556336],[-0.6067051  -0.74494955 -0.27741499]
1234,134949.48758499752,108803.87611262329,139507.14872404083,21252.046222630903,17422.92477374645,22596.664161495955,20443.899159379474,7894118.705129852,7870189.484472014,1030724.8305146192,[-0.73010583  0.02978329  0.68268472],[ 0.31170974 -0.87453622  0.37151507],[-0.60809746 -0.48404479 -0.62922025]
73,147243.72994269303,198748.50345423288,168185.6382085773,7384.688865482066,4420.7201935963985,10907.75325446089,7595.682071850661,2557615.5229640077,2557186.1529275407,99646.5024093961,[ 0.87043885 -0.37493845 -0.3189943 ],[ 0.00083373 -0.64687442  0.76259609],[0.49227585 0.66405922 0.56275203]
804,17188.519418493,110192.37794951811,83927.81914161127,10640.033067647044,18109.615714583855,19377.077572549217,19878.443894249885,4029200.261451211,4007045.3283687886,590624.8102741113,[-0.98257921  0.18195333 -0.03782963],[-0.13945988 -0.58735834  0.79722087],[-0.12283744 -0.78860837 -0.60250129]
40,190596.18135416368,158612.90483070072,127239.88775238795,3118.0283390383224,5823.01805772716,3184.1879930317764,3365.178427954541,1763199.5142791558,1762872.4083850454,41298.873172835316,[-0.64834669  0.18709024  0.73799988],[ 0.33466218 -0.80063491  0.49697582],[-0.68384779 -0.56919327 -0.45647696]
32,88077.27521230641,12996.91010807426,180707.77432078728,2444.46418963256,4652.730892797796,4576.8937303065095,3949.2019587737377,1140095.010065901,1139947.9781518187,32363.34590440509,[-0.88519976  0.20769469  0.41627431],[-0.15942854 -0.9760572   0.14796923],[-0.43703996 -0.06461632 -0.89711806]
376,183394.23804185144,45631.92670202576,29702.636332567043,15695.997938219389,10792.451543873689,20894.517857563784,13602.646356234893,3747572.119161512,3722608.5686639836,469813.28840944223,[-0.26538058  0.94738148  0.17900133],[-0.09700848 -0.21095355  0.97267053],[-0.95925101 -0.24076322 -0.14788701]
2,199942.95778987848,189992.87772657687,69219.10437742696,721.131120078222,649.3885094893485,951.1864213880981,1172.432668614958,402163.1779726759,402162.00462452805,971.4697438548764,[ 0.69502251 -0.71805071 -0.03669994],[-0.15026983 -0.19498824  0.96922576],[0.7031093  0.66811883 0.24342257]
213,46937.76503810933,72323.77695768795,114610.8950207188,8352.757423185827,7563.106928751413,9663.293505738982,6470.988761656364,2101188.5135329515,2098431.8775908123,195148.2364904035,[ 0.73302063 -0.66918225  0.12196667],[-0.59669076 -0.54651514  0.58760645],[0.32655918 0.50350404 0.79990174]
48,31241.00090512574,95195.82286993954,133876.30386596758,4848.033184427401,5317.5029255588815,4166.786645749292,3654.174634664194,1159766.194626034,1158950.8823398375,51762.1135333022,[-0.77965759 -0.40986048  0.47344317],[ 0.59765477 -0.71272009  0.36720411],[-0.18693    -0.56924904 -0.80063269]
35,36411.6970203514,127360.2493827431,124608.47701296653,4153.196921701168,4504.7725086976425,4124.2849658262285,3969.568534753387,1076543.594088196,1076418.235350201,36830.81759190308,[ 0.08005014 -0.70863436  0.7010202 ],[-0.97656331  0.08520607  0.1976462 ],[-0.19979006 -0.70041221 -0.68520556]
41,88007.60072882079,135732.12652331006,87850.83705087971,4783.686805809231,6820.823064127388,2536.6018332533718,3751.0445196170826,1179799.501369923,1179169.3049623878,50298.49047642331,[-0.52999899 -0.19086748  0.82623887],[-0.70054806  0.6475852  -0.29977627],[-0.47784253 -0.73770117 -0.47693135]
423,167291.98562614954,185579.72319776332,194662.20690274972,10769.026941601996,10495.66207628707,6901.83774196216,9461.516021838295,6521760.068674345,6518530.090010197,278536.19083809154,[-0.23707226 -0.59307432  0.76945409],[-0.81540131  0.55204217  0.17427031],[-0.52812636 -0.58609922 -0.61446746]
428,63007.594479696345,188474.71692532767,165893.0139171516,15580.657516997835,9775.176879077562,20245.28889094618,16666.269301395532,5378201.381590715,5374168.319729175,443825.32645583106,[-0.21321738 -0.60666481  0.76583037],[-0.94646807  0.32270133 -0.00787629],[-0.24235621 -0.72651335 -0.64299441]
2,29932.96369213221,127127.79334107474,186167.98360572147,362.0527528981456,106.01021076164034,549.9417389667651,343.28586038728827,321609.76673995034,321608.7502592475,808.5908793895018,[-0.68947218  0.64498403 -0.32958111],[-0.7122526  -0.52105019  0.47032216],[0.13162198 0.55901905 0.81864116]
13,91020.81332167414,16400.944504594496,24630.041451610745,2990.615256122481,1731.0798948301049,1130.334492774919,2739.7860606776476,345290.9370761527,345274.4713119937,8617.193630224698,[ 0.28876288 -0.19794884 -0.93671354],[ 0.10952464 -0.96513932  0.23771927],[0.95111532 0.17123771 0.25701613]
122,86513.39841356501,190425.4714598065,108148.81413847246,5141.221591033609,6457.319693210712,6527.955946713491,7462.147857492557,2602903.534196448,2602524.966257549,82288.35696517656,[-0.92079855  0.38578843  0.05742227],[-0.1307786  -0.44407622  0.8863934 ],[-0.36746019 -0.80868016 -0.45935761]
260,163704.407841343,152755.37768908998,144725.54246997574,7498.099286597722,10703.234000866069,13007.277037031517,11946.450354279441,4307173.470704343,4305196.290127667,226523.74048959735,[ 0.12530396 -0.75002797  0.64942818],[-0.77997926  0.33006419  0.53168599],[-0.61313235 -0.57316287 -0.54364791]
115,11710.22093661474,116475.89894610467,157572.67733430336,5664.145027424075,6392.024423982815,9464.423060631249,7183.817034008968,2108528.245383113,2107426.0173945925,113193.80264395241,[-0.99765611  0.06303945  0.02661414],[-0.0348568  -0.80288614  0.59511246],[-0.05888369 -0.5927899  -0.80320162]
338,11892.51049888763,46069.69118512021,149639.55249484553,8354.788485318833,14561.550207260583,12139.48553983341,11451.924535838072,2907989.6068618526,2898241.8089090656,318254.9228850196,[-0.98914116  0.1427554   0.03493801],[-0.12584126 -0.94546918  0.30041972],[-0.07591935 -0.29276087 -0.953167  ]
202,148828.55533355506,81215.0605590697,116632.45452065219,10781.64236203019,7363.599622784954,8006.246406477885,6436.109879728457,2931491.816654523,2927664.5973077924,197175.38283461888,[-0.04136396 -0.79449187  0.60586441],[-0.68900896  0.4618195   0.55856012],[-0.72357148 -0.39434175 -0.5665147 ]
126,113355.29603551884,160387.09153843613,68814.3480315564,16137.866347026704,4269.8495732106485,5571.012459301012,9710.303027390564,2343734.048156771,2339168.9363950775,164545.83578457683,[-0.15414372 -0.295714    0.94275816],[-0.82292603  0.56650793  0.04314516],[-0.5468386  -0.76916968 -0.33067439]
3,78244.37766710209,71064.41858621313,21422.898010627116,262.2488932159536,1349.1797814643403,1211.789602358101,990.3169921861576,186817.07460535516,186815.53044492696,2670.5610276423195,[-0.46398519  0.68144248 -0.56599814],[-0.50837948  0.31840819  0.80010408],[0.72544335 0.65897828 0.19869469]
57,142942.93578340037,147719.1388942004,96507.90579080889,3380.295401702795,5292.383810691141,6774.142230608498,5692.8988244130005,1715627.4823875518,1715231.222995356,54910.17651378078,[-0.74877546  0.65404233  0.10753575],[-0.20813543 -0.38604292  0.89869378],[-0.62929719 -0.65053785 -0.42518885]
48,198842.70531049723,27622.002591193537,85283.26163549098,4997.116982283686,8609.738446520361,4967.675645443035,4203.936462894587,1512869.8180076443,1511680.7991759889,71366.80868632229,[-0.29470702 -0.46143818  0.83679303],[ 0.28641586 -0.87807855 -0.38333278],[-0.91165439 -0.12669993 -0.39093913]
2,146997.33396844828,2427.149358163584,202808.433538466,902.8122923820774,568.9706100561809,697.0284269711556,1099.6607755169825,354251.30235013436,354250.12980095565,911.4564017669862,[ 0.70428021 -0.49947807 -0.50449088],[-0.39950548 -0.86627223  0.29994632],[0.58684305 0.00969938 0.80964261]
3,20931.800546093942,165033.4410142433,113546.70258265473,359.9219571523091,563.1096009972282,1732.3961251403466,900.5884303982547,348871.37652554933,348860.6125953148,2811.7935924420035,[ 0.98306707 -0.17064179  0.06678716],[-0.15092641 -0.54728648  0.8232246 ],[0.10392481 0.81936493 0.56377366]
5,64232.42878765332,53143.71761276717,167113.6928324184,2084.2974292348717,2105.068609632881,1837.2358726642624,2541.6498431754703,417661.4507838282,417638.918797038,5349.402349649212,[ 0.78758029 -0.60632595 -0.10993694],[-0.51124534 -0.74253927  0.43273968],[0.34401379 0.2846125  0.89479061]
850,19363.968771347943,145675.586996182,29838.58843506412,12901.982655443322,10945.514924423762,12272.941006314524,12123.88947357112,4405759.483002282,4394420.689674503,498419.7896175652,[-0.59983731 -0.08481885  0.79561357],[ 0.78949532 -0.2242658   0.57131602],[0.12997055 0.97082986 0.20148709]
353,184600.66407639868,177041.8387713705,105902.24578374764,11972.565260696818,10616.138075955943,14370.067528041061,14563.281908296747,5215106.445786258,5210280.165480479,295926.6502869958,[ 0.37931714 -0.73356698  0.56391311],[-0.64185447  0.23035941  0.73140781],[-0.66643931 -0.63938567 -0.38346397]
14,62923.449676066564,157525.9736742697,185166.6363678419,2867.77599187538,2490.108934477611,3540.0092891183835,4283.516994665252,939771.1688511876,939764.5440427498,10993.81563250994,[-0.51987944  0.72975807 -0.44404788],[-0.81663544 -0.27203914  0.50901991],[0.25066299 0.62725422 0.73737386]
26,113464.38613750305,18179.58028174584,150553.4505232033,5122.865180831216,4003.46949029239,2601.938614005455,4402.919234356085,966219.2775053353,966173.4932662515,27776.594595201383,[ 0.79955563 -0.02359103 -0.60012854],[ 0.03880933 -0.99511049  0.09082371],[0.59933683 0.09590919 0.79473064]
75,95928.86332956221,9095.733774490682,7350.585774201315,6276.040482809898,7230.194133133561,3756.69628619759,5983.589816305532,841107.931556896,839077.7683637019,72243.09955213817,[-0.0559794  -0.20430754  0.97730483],[ 0.10576102 -0.97454607 -0.19767289],[0.99281464 0.09229515 0.07616228]
65,11873.863208572278,65120.204233750905,110429.93587584939,4634.358103713529,7470.415652680943,7797.8249520227755,8726.85342001057,1041746.5070180157,1040953.8808173364,63741.981341695326,[-0.87986232 -0.36235429  0.30747629],[ 0.46639313 -0.78259058  0.41234624],[-0.09121262 -0.50621275 -0.85757152]
128,83618.70590780888,37431.45760062795,192039.34062109172,6490.421795706074,9277.791224251607,7048.804235813327,7087.985489673052,2411022.2235319847,2409536.0957690836,127900.65163075489,[-0.83196989  0.48631089  0.26707267],[-0.39176762 -0.85578051  0.33787253],[-0.39286668 -0.17646935 -0.90250448]
21,106379.65472265621,151380.8840578769,33924.59264818135,4140.856271106253,3018.485815775877,3643.1896927706202,4649.493896275807,862448.2602784812,862312.6799590458,19358.05570716283,[-0.69318372  0.34534864  0.63263785],[ 0.44666411 -0.48304494  0.75309944],[-0.56567437 -0.80461289 -0.18058404]
