N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
118,65212.842339166935,11651.413062656353,155153.60134607626,6870.918569517337,6461.604968855969,6938.024230445955,5902.06577445393,1836465.7486355654,1834198.8248771036,110839.43305718187,[-0.4892319  -0.82987182  0.26826277],[ 0.78215222 -0.5535595  -0.2860241 ],[0.38586274 0.0698902  0.91990505]
260,149888.84510263105,198536.2847666344,95065.66185275746,14997.107118250495,4201.928837290063,10453.039177268622,11680.399442080192,4302656.0422352515,4300278.108207675,237762.10180310524,[-0.36685513 -0.16205807  0.91605376],[-0.73982282  0.64780858 -0.18167622],[-0.56398539 -0.74436633 -0.35754616]
1132,98425.8365367668,36621.102569988296,73470.69611797422,17908.52757846807,22683.379617396266,13911.779199190452,17012.557983869763,4423308.895554678,4372715.278893422,912639.8281879857,[ 0.52416218  0.2314889  -0.81955286],[ 0.36605463 -0.93015344 -0.02861097],[0.76893304 0.28500434 0.57228884]
1375,103308.41212313228,119626.38327652069,47226.00003599946,22880.015857113594,16018.746841343978,17455.96905645987,17415.307764293968,6209632.7357220985,6183014.499068421,1015305.6057755391,[-0.2539166  -0.16049041  0.95381822],[-0.73443591  0.67368666 -0.08215949],[-0.6293888  -0.72138    -0.28893015]
92,51577.81054381049,170985.20384336077,85782.85975065782,4378.199851502011,7191.779755865508,4593.424219993723,6387.210074352021,1902162.9026980402,1901818.9480230273,68486.97607301384,[-0.32868522 -0.34250451  0.88014583],[-0.90802777  0.3708761  -0.19477292],[-0.25971445 -0.86321584 -0.4329051 ]
9,60227.87828071652,11825.809255190563,136142.77010235452,4164.11821935011,1629.3398233544817,1032.120209548458,2036.2091132320963,448217.34109674476,448068.2679121122,12366.791378724487,[ 0.29406174 -0.95462241 -0.04715664],[-0.8664131  -0.2870717   0.40855622],[-0.40355426 -0.07928362 -0.91151416]
950,18539.674550703432,145850.2368034787,32476.640351311773,12117.54363595432,12145.254201987767,15175.599634935632,12176.544835714612,4680293.019810273,4669760.025656366,599523.5304815993,[-0.92535758  0.03250435  0.37769937],[ 0.35878641 -0.24663539  0.90024624],[-0.12241595 -0.96856309 -0.21656381]
884,176532.7569342138,83966.10114889081,55589.012584611526,14481.693988137895,11561.774747079919,20568.252403062514,14507.656862990094,6090037.550181319,6065836.1269712495,705749.6980231376,[-0.46924638  0.86231565  0.19031439],[-0.15757932 -0.29382324  0.94278134],[-0.86889389 -0.41240712 -0.2737586 ]
5,155771.58591483676,177023.92248351354,112450.06718615566,1800.5571493414516,2022.7965424864108,571.8681089292065,1921.5226106275124,584178.7530881646,584178.5985643083,4460.276961586793,[ 0.79109441 -0.40488054 -0.45852086],[ 0.13644677 -0.61390308  0.77749938],[0.59628174 0.67763911 0.43041065]
461,144000.0682410639,20121.56115169183,12104.453188419762,13627.309664135133,12746.732517835597,9682.57484483458,13257.561329184284,3158504.889825705,3152037.401137276,350667.20078069903,[-0.07715152 -0.05543894  0.99547685],[ 0.13940771 -0.98924421 -0.04428745],[0.98722497 0.1353603  0.08405031]
94,161577.50654778667,34078.31255856223,60748.76495644776,4473.872901694139,5669.744171703227,8038.9966659375505,4672.489345283366,1708693.5517479319,1706943.280567367,94685.8871350801,[ 0.00777899 -0.88060578  0.47378576],[-0.39622468  0.43230441  0.81001167],[-0.91812063 -0.19402668 -0.34555485]
1797,25052.112260791724,37585.46170944713,36535.967257031036,14280.720274266483,19018.61634814681,25987.875828339515,17600.53516090839,2819848.8340525,2616441.092525238,1339103.6133746796,[-0.89136805  0.40957133  0.19420178],[-0.15068926 -0.67182217  0.72522254],[-0.42749941 -0.61717607 -0.66055881]
86,143505.64783052893,46639.498931350405,177012.33220134716,4454.281968898521,3626.5568399861772,5338.972880555025,4502.999448908197,2157982.733035248,2157717.69424814,59740.070192039486,[ 0.16905722 -0.97819852  0.12061226],[-0.76867072 -0.05426142  0.63733901],[-0.61689949 -0.20045788 -0.76108585]
92,150934.37316992856,196374.13949490193,169193.2637331216,11823.512852530153,4644.515562011262,8156.062416007338,6772.183640913068,2879777.3277547555,2878641.996703398,129531.12492375595,[-0.14074084 -0.58217607  0.80078901],[-0.85240509  0.48266843  0.20108893],[-0.50358474 -0.6542952  -0.56418101]
461,163198.08972942398,178260.04672143148,192342.74077703903,14410.85935668204,17698.274285111365,8757.457026091579,19155.773229580016,6649567.568790804,6647852.4124025265,323442.8740934327,[-0.45549796 -0.42488431  0.78230105],[-0.71638369  0.69662889 -0.03876337],[-0.52850357 -0.57808434 -0.62169323]
15,160121.34830757053,121387.63154603151,2644.9089394950556,4979.507406309721,2166.6015321476493,1537.328946835004,3788.9783043142675,778564.5293028625,778430.5155152275,16209.932316961073,[ 0.11693131 -0.17554292  0.97750281],[-0.59257836  0.77751812  0.21051476],[-0.79698053 -0.60386278 -0.01310673]
459,55963.77502828178,181554.03815929798,163147.71312384086,16420.948005216847,13007.247604753646,13835.115543929067,9644.851958407273,5384049.709439622,5377533.796375971,491317.9256465938,[ 0.52160959 -0.65328593  0.54876309],[ 0.82355528  0.21749653 -0.52388164],[0.22289044 0.72519842 0.65146535]
428,101380.28835351895,175985.47916878044,187655.84635739122,8463.870501374462,15769.880056422753,12104.751954922049,13670.612703511748,5736088.877403108,5729774.749927066,345550.1883624677,[-0.82398017 -0.11708502  0.55438956],[ 0.43251397 -0.76204045  0.48189836],[-0.36604419 -0.63685592 -0.67854712]
403,189960.7815727229,138952.1363974312,27536.603237778047,9875.075407536082,15514.134060778943,14871.37400112917,12028.626566223626,4778456.105911125,4764935.307646061,412733.92268122104,[ 0.50802883 -0.56566551 -0.6495608 ],[ 0.31620579 -0.57899238  0.75151961],[0.80119948 0.58718852 0.11527811]
4901,118311.28317446345,118572.72870393662,126372.09949571823,41139.884206227005,36291.55216578746,28263.2490548996,20341.530638441174,15069099.85043781,15012783.77698168,4052225.246830742,[-0.05930746 -0.69388936  0.71763514],[-0.81963734  0.4442046   0.36176913],[-0.56980458 -0.56674495 -0.59508227]
19,195338.62000175644,35824.91911249851,68197.07331618918,3344.0485017839474,4382.360398920932,2869.4331613012214,3694.8504332406246,915589.3390275687,915512.9575924503,21785.30338608249,[-0.3654974   0.35366361  0.86100738],[ 0.03229275 -0.91963167  0.39145213],[-0.93025203 -0.17087903 -0.32470221]
38,136178.83759072155,146409.22419568143,2837.5837045513777,9083.979848433768,3732.0299437504236,1969.5773310818117,6045.987183999707,1234211.6975416576,1233313.819882122,48998.12476240471,[ 0.11366688 -0.1247632   0.98565409],[-0.72283523  0.67023816  0.16819641],[-0.68160771 -0.73158386 -0.01399936]
306,190932.84879907823,51171.742833348915,17045.551286098875,8744.524252648725,9420.027288187472,8995.8010122143,9012.739215209813,3478954.3472824134,3476865.0220868336,223518.56133299778,[-0.24983538  0.71482824  0.65314843],[ 0.10776529 -0.64982161  0.75240848],[-0.96227279 -0.25836499 -0.08531476]
3,4800.558145791954,10946.71304292714,110422.20261116576,1178.0428578822577,2692.3601774519593,973.8887163584013,830.0733255410184,192447.20645208587,192381.5549917765,5152.921469052446,[-0.92644048 -0.36852802  0.07677982],[ 0.37395233 -0.9243845   0.07531905],[-0.0432169  -0.09849061 -0.99419912]
90,175176.6657369816,164933.31620916125,88861.91596508826,7999.282669047475,6461.565832106555,8441.445262275189,5307.909008091879,2435854.8689383604,2434481.0767287347,115356.88329398134,[-0.63231117  0.28325315  0.72107575],[ 0.36524313 -0.71183637  0.59990536],[-0.68321303 -0.64269482 -0.34664582]
27,43428.010685967914,9236.355003408995,5632.8214015378635,4304.02584148901,5392.03541524581,2492.5505782793807,5185.094885880675,235311.33891153077,234457.21483648676,26979.346027945936,[-0.11987503 -0.03914729  0.99201687],[ 0.21892284 -0.9756678  -0.01204755],[0.96835054 0.21573095 0.12552845]
