N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
927,174973.93887568946,84669.57310069588,53392.40020336195,15704.916860757548,11890.190586077773,20304.487592783586,16747.63358952298,6188976.797070015,6166458.092669404,702453.3480737073,[-0.4636928   0.87612202  0.13190598],[-0.17719875 -0.23757559  0.95506986],[-0.86809538 -0.41948545 -0.26540982]
314,110896.11174037657,98410.62895333192,56299.93544111884,7851.977675914773,10749.691489824447,14609.222614920855,13381.190239501233,2830350.8563098507,2822311.1991863297,254220.2390429232,[ 0.4354876  -0.76370974  0.47654798],[ 0.57010625 -0.17570239 -0.80256311],[0.69665588 0.62118926 0.35887948]
32,181545.90256391064,158175.6426416121,10871.28288773687,9197.117336207773,3077.527686945349,2664.0438190504883,7658.497550743415,1364602.9426513982,1364244.5423943994,36798.3157086955,[-0.13719447  0.08971512  0.98647295],[-0.64284216  0.74961537 -0.15757778],[-0.75361239 -0.6557652  -0.04517042]
404,56850.28335303319,180101.11864105388,163299.69457490084,17724.725449400805,13956.11262606916,13200.871674282616,11086.350677559609,5039330.457044555,5030300.83109394,469102.20787739765,[ 0.51837854 -0.65810062  0.54606525],[ 0.82425407  0.21441938 -0.5240511 ],[0.22779139 0.72175335 0.65359252]
2324,129127.51402512555,101567.93428770646,147003.041517641,37921.87814054126,27658.758532603846,18866.080705568602,29625.370378753847,10875114.508964488,10760057.67330813,1933758.1406744735,[ 0.49651316 -0.85348632  0.15822699],[ 0.63253686  0.23091712 -0.73930671],[0.59445084 0.46715991 0.65451495]
280,48171.452355588866,73828.8358952335,112608.82385858288,9221.033710217542,6841.789879342508,9926.974768126358,6905.730084297967,2402986.435082845,2399273.542355421,226360.99062291003,[ 0.55203784 -0.78592016  0.27853856],[ 0.76308485  0.34153909 -0.54868257],[0.33608889 0.5154421  0.78826626]
90,26974.138336841494,63406.75591090589,68978.17755902352,5862.69228500681,10813.535392906233,4996.708261251824,4996.185376018905,932488.0425398406,927159.2292029324,116843.16416935851,[ 0.85405326  0.17095736 -0.49129075],[ 0.44148711 -0.73769851  0.51077396],[0.27510389 0.6531267  0.70550929]
441,164735.2816368077,180432.92066812102,193404.4227089798,11472.91662067148,14936.866603329352,7878.184652271588,14209.49662969907,6554918.005747,6553467.573344736,306710.62183923594,[-0.48253919 -0.39578999  0.78134897],[-0.69839034  0.71223379 -0.07052637],[-0.5285895  -0.57971831 -0.62009662]
531,175059.1053184904,122930.83961178055,80018.69059230204,11245.908121114351,12588.137789005292,11891.452827018136,10838.42754287363,5280562.543392396,5272380.341657522,406288.40710376424,[-0.52496925  0.20969599  0.82488477],[ 0.3698258  -0.81670021  0.44297816],[-0.7665743  -0.53761358 -0.35119151]
831,124756.8633732733,167701.98694720736,97828.26883112753,20840.35135586302,21403.44828346194,8625.285861682101,26173.980515227027,6705086.691706088,6702894.742902799,485459.38722252485,[ 0.46379114 -0.67666843  0.57185454],[-0.70018025  0.11551853  0.70455879],[-0.54281249 -0.72716938 -0.4202134 ]
753,17464.77009067565,110536.90672889467,88375.18454272515,10186.180187880613,15113.365543735317,18676.66405014572,16827.378084546144,3970126.6693424536,3948365.336498737,544496.565930466,[-0.94240386  0.28671118 -0.17225467],[-0.31155672 -0.56510411  0.76393046],[-0.12168558 -0.77359812 -0.62188309]
919,18148.289954707172,146795.38055307788,31218.132359918647,11861.992286399,11974.275659654875,14251.878077172738,13118.161937524577,4618725.947286948,4612424.393584835,540252.2763393086,[ 0.89096954 -0.01245717 -0.45389216],[ 0.43786492 -0.24104545  0.86612436],[0.1201981  0.97043388 0.2093096 ]
678,118667.22604143374,12662.595069740177,90216.45024498124,12816.951726677691,9211.996227780342,22847.031168083162,20477.57022918477,3954651.4954505106,3939043.4248497584,489180.98670735,[ 0.12446201 -0.99190622 -0.02512484],[-0.60331345 -0.09575684  0.79173449],[-0.78773224 -0.08338272 -0.61034845]
72,102628.04924378304,162128.64168963334,65565.67647181475,11427.453042754436,5202.777289743818,2975.7360671309734,7313.0994960433945,1723883.8604810068,1721895.1242334694,90207.24337133236,[ 0.07930714 -0.41630756  0.90575846],[-0.85824     0.43368783  0.27447944],[-0.50708429 -0.79912632 -0.32289726]
537,152484.09740035006,15136.159968467713,173232.51501650413,13831.890627970772,8367.888199746429,13962.406972226348,13715.92037246898,5379234.5325681055,5371766.224521659,382477.0903619946,[-0.19674515 -0.946814    0.2546264 ],[-0.72570207  0.3152574   0.61153028],[-0.65927828 -0.06446729 -0.74913024]
63,145084.02156173054,47494.90881261161,174759.55084774908,6378.8758706140525,3108.9998356588912,5295.827888756585,3583.5060865757814,1843016.176372883,1842182.593135529,64299.000854501675,[ 0.03448534 -0.97129481  0.23536599],[-0.77966399  0.12119101  0.61435885],[-0.62524781 -0.20469276 -0.75310428]
172,112441.16870902594,52755.86330568457,143297.21309186428,6846.964247456317,5772.4328380153065,7197.3899370751105,7462.470918627119,2490322.9071288276,2490176.7668120586,114281.78767200666,[-0.78327147 -0.01841237  0.6214071 ],[ 0.18654274 -0.96046203  0.20667486],[-0.59303255 -0.2778015  -0.7557372 ]
137,13573.371950362325,102316.74360213977,169896.102608831,6103.585869083187,8952.22126949395,6043.933796141196,7927.025062555695,2330588.5224416475,2329345.0409032335,111880.11981022284,[-0.7711559  -0.51638839  0.37237294],[ 0.63306233 -0.68394414  0.36256379],[-0.06745855 -0.51532849 -0.8543336 ]
849,65567.32962743696,168995.52197077704,124696.67142061096,25491.827319818916,15536.874896123989,15322.396049109393,13275.234308354973,6472151.630478287,6434076.748962098,906831.7419420907,[ 0.44810288 -0.63597223  0.62828587],[ 0.84226426  0.06476271 -0.53516046],[0.29965769 0.76898967 0.56467704]
25,94957.05787097434,80131.38766738288,180060.1210754155,4033.495703252325,4311.873795052977,4040.1014955138517,3268.5380054045395,1094309.941331,1094080.2024635016,31779.200464512018,[-0.34531901 -0.77620573  0.52750303],[-0.8321767   0.51310455  0.21025141],[-0.43386256 -0.36637192 -0.82312508]
63,27262.698309921827,180964.72105681733,99872.1019059453,4946.009365120256,10665.284891905127,7334.031793219338,7376.067204830581,1658055.6811249575,1656220.2621919815,93187.20261390184,[ 0.92869898  0.06223051 -0.36557568],[ 0.34729172 -0.49161047  0.79856597],[0.13002566 0.8685888  0.47817028]
352,146546.04546338925,15160.837775439992,14321.988341528118,14028.02721037664,9100.50238426204,11428.497649120565,13945.91380159294,2798360.3021132937,2794131.3535878956,275578.74459761597,[ 0.03697248 -0.86107006  0.5071404 ],[-0.13537837  0.49849322  0.85625768],[-0.9901039  -0.10031381 -0.09813974]
641,108041.85754184943,119201.8326333134,123176.34712903708,17434.362243018717,12173.821441360033,15890.327035131153,12614.092699244193,5163819.542713692,5149606.254360101,593135.3872059508,[ 0.34781788 -0.80768426  0.47609753],[-0.77101868  0.04250982  0.63539209],[-0.53343501 -0.58808082 -0.60795398]
360,12192.776434695974,48476.46475256435,151797.3093754187,8814.826302403784,12629.986590355385,13834.678851948267,13679.406494009681,3053525.343705947,3047818.215066269,291461.75716749876,[-0.95864635  0.28426871 -0.01372864],[-0.27417706 -0.90952734  0.31238912],[-0.07631588 -0.30323477 -0.94985502]
74,195490.58329112595,186846.2201824916,68171.3771578349,4797.437653085186,12413.590784969498,5733.876218562244,9731.427356171265,2401794.2140761144,2400967.1624831506,92634.48471534529,[-0.09848997 -0.24829464  0.96366462],[-0.70694763  0.69899487  0.10784813],[-0.70037474 -0.67063846 -0.24437529]
