N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
1305,102388.37122274975,119119.52656895752,47268.57886560744,22594.16228624871,16402.442695633614,18212.226582002233,17306.243646280258,6016327.781909286,5992592.806852692,1010249.3882865824,[-0.21592755 -0.19783117  0.956158  ],[-0.74866859  0.66216847 -0.03206647],[-0.62679394 -0.72276949 -0.2910904 ]
615,143608.4222714491,14368.379850624471,176096.11674864872,16889.457640699715,8075.751917348345,13657.87491308803,14653.25705477779,5671875.952134011,5661873.486457681,443090.3836254271,[ 0.0365217  -0.99802592  0.0510923 ],[-0.7745477   0.00403618  0.63250262],[-0.63146023 -0.06267349 -0.77287128]
1710,27271.72726933854,46065.39949878441,28285.584929660312,13253.770292245918,22115.348276713365,17901.23214907514,19622.058116757118,2777726.6310443976,2666801.0323066995,1038744.3802346289,[-0.82319434  0.13684185  0.55102213],[ 0.36522309 -0.6154386   0.69846076],[-0.43469895 -0.77621495 -0.45664777]
11,198997.10496753047,115122.77732007694,116674.86415326562,3153.945194430857,2324.9302053301144,1836.725787436463,2565.613716866204,855159.1127537679,855123.7513994275,11532.618370780849,[ 0.35278697  0.29134571 -0.8891901 ],[-0.52887091  0.84602397  0.06737219],[0.77190473 0.44649874 0.4525505 ]
2,75876.80354933231,192829.96925008588,14551.036456667367,731.9840213789212,367.81816841899126,2.4662964399794873,74.23774864387815,293779.13512266823,293776.8695157248,1153.7638249261593,[-0.02877458 -0.06395214  0.99753804],[ 0.9304598  -0.36637866  0.00335114],[0.36526234 0.92826548 0.07004729]
813,18855.51932859184,145567.24548842452,27194.865372790733,12677.743837627664,11164.473240290745,10136.253179760977,11402.227412787965,4286246.142638358,4275968.207855077,458840.18348310405,[-0.40591876 -0.11817585  0.90623641],[ 0.90524239 -0.18822894  0.38092792],[0.12556344 0.9749894  0.18338344]
1707,175349.2321632414,98374.05278453774,67443.43785667043,14064.927107865617,20648.894390541253,25244.18811000499,20736.094625263944,8856352.694882438,8830211.716911212,1199292.3456029901,[ 0.31262623 -0.84840885  0.42716186],[ 0.47317969 -0.25083481 -0.84450156],[0.82362967 0.46613765 0.32303229]
142,67523.45859084446,81553.34968237866,27136.813251169668,6526.542653409449,3581.346547957722,13199.9259680138,6481.8601264400495,1313391.426862314,1306258.9373634215,163699.29598874858,[-0.76407181  0.64442651 -0.0301453 ],[-0.18479079 -0.17385153  0.96727866],[-0.61809921 -0.74464093 -0.25191914]
101,87187.338046087,190533.26920676537,107611.38200415917,5171.598487607647,7042.947996760317,4969.494644680435,6611.959560295958,2368968.763126964,2368649.8401407492,76282.82587198903,[-0.84758914  0.49529218 -0.19046864],[-0.38024284 -0.31650817  0.86904428],[-0.37014596 -0.80901683 -0.45660019]
2395,113631.4068506751,93842.53618474925,150062.16654670454,27668.23040084707,27822.436968498954,25221.396303741793,20636.53765906737,10507940.809128046,10384955.841460776,2013382.804831585,[-0.70087557  0.70763066  0.08962305],[-0.46142392 -0.54562023  0.69956167],[-0.54393143 -0.44895147 -0.7089296 ]
