N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
204,12899.248344594022,50845.092847513275,161873.96380776944,10062.54439176125,9710.075149183964,8250.941897442324,8285.804327718248,2438632.415053477,2436124.8235152788,198696.10821605945,[ 0.6198787  -0.7612503   0.19039005],[ 0.7810744   0.57529047 -0.24282434],[0.07532052 0.29923043 0.95120343]
46,71926.0980861899,140343.1454221326,199171.7989015872,3385.9174797214687,4207.760170869075,2691.375619451189,3466.974951646687,1723411.6732523737,1723271.1932385417,33520.51515431922,[-0.69735724 -0.44259054  0.56374329],[ 0.65843841 -0.70630667  0.25998029],[-0.28311083 -0.55248937 -0.78396668]
62,195845.2385146804,132027.5487656849,157293.41583090049,3997.890000520651,3443.7099473309604,5628.759052510887,4834.817829614305,2235148.915717198,2234883.976445641,47301.464686837266,[-0.69919451  0.62616013  0.345037  ],[-0.18663172 -0.6257412   0.75737478],[-0.69014176 -0.46515744 -0.55437615]
4,17258.30728138249,167090.82242376497,197944.51545851358,466.994932129058,1774.087608537443,660.1904090046054,1406.3877524569505,519240.90909875004,519235.7869373399,2696.8371002422396,[ 0.99491363  0.01520735 -0.09957713],[ 0.07568556 -0.76518596  0.63934509],[0.06647228 0.64362969 0.76244492]
1192,107958.20995354923,24785.764800394187,82795.4197948784,17679.974166133037,16968.66223480126,19935.887598058336,20522.194172371463,4874937.377466203,4850562.743433836,823834.1885732899,[-0.62135026  0.32297942  0.71386844],[-0.07506025 -0.93143522  0.356082  ],[-0.77992936 -0.1676685  -0.60299043]
173,180340.22353423308,117700.15327113064,123820.732284348,5889.346667112965,11325.472019392431,11531.02752272855,11499.511813227546,3273596.7475223737,3272317.5764886355,169358.62904696638,[ 0.08972478 -0.78357327  0.61478646],[-0.6828384   0.40096439  0.61070392],[-0.72503875 -0.47459508 -0.49907748]
336,169921.80430252306,184398.91000165237,194718.88658905425,10384.603244577556,14331.623009620584,7412.848644464789,9060.473513807747,5827721.067844269,5824335.1256987965,307104.1329083813,[-0.59868366 -0.25110571  0.76060752],[ 0.59605581 -0.77400084  0.2136356 ],[-0.53506574 -0.58126468 -0.61305467]
178,101850.49514853774,190719.00763046218,13595.344566460963,5946.9409995730975,7462.28341636273,7386.122957255248,7214.473874129969,2893987.5535844928,2892712.545146292,129276.90226615456,[-0.70382396  0.41675563 -0.57527956],[-0.53270533  0.2261064   0.8155372 ],[-0.46995411 -0.88044911 -0.06286885]
306,147229.20500294815,15920.91061510567,14510.444865080735,13485.900281507125,9274.79189349287,10289.2651248103,13066.17888557438,2620748.5450935275,2616920.513657585,249221.37407918094,[ 0.00738736 -0.72278205  0.69103656],[-0.14272063  0.68321861  0.71613068],[-0.98973544 -0.10391549 -0.09810872]
1491,175624.0099573453,102151.2487767252,65826.26190042979,12475.80839311195,25951.37853286603,22031.102637087504,19851.58285827976,8337581.778112212,8307803.779652712,1182887.813805556,[ 0.0192063  -0.56504479  0.82483665],[-0.57455678  0.66892522  0.47161801],[-0.81823934 -0.48297353 -0.31180274]
1480,105606.63181719703,138669.97695418372,63332.86470056184,23400.79762985121,20452.432882242836,30024.08380784385,30649.284935710224,7293113.113143305,7270141.280432753,1134321.719388139,[ 0.62099079 -0.66993712  0.40688414],[-0.54017572  0.01036537  0.84148842],[0.56796183 0.74234548 0.35544697]
647,186880.5928142726,156913.89138093643,41427.8647549126,11830.674864884002,27363.22370715622,16250.939129323042,18934.912393644474,6348885.346695784,6319880.91896587,718529.0171126529,[ 0.13819592 -0.40392815  0.90429195],[-0.64535944  0.65587248  0.39158968],[-0.7512743  -0.63770945 -0.17003994]
2501,23454.833161106217,61877.44188870722,47848.37459465291,13433.450935195156,37844.06089072163,29612.516373289618,36758.94766934958,4703649.130691284,4595967.07750382,1600254.8440303884,[-0.9712222   0.15045637  0.18463562],[ 0.05793192 -0.60269891  0.795863  ],[-0.23102235 -0.78365611 -0.57663834]
