N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
254,195757.05788605486,46055.46962997257,155491.87620727852,7062.824285733491,12830.913058882354,14250.857934758269,12793.99723694357,4061627.1302180947,4059281.4985969285,253665.13746147617,[-0.58375309 -0.19074035  0.78920875],[ 0.25997142 -0.96475085 -0.04087359],[-0.76918606 -0.18131164 -0.61276333]
395,190625.96060890798,51946.454401690935,17374.293127113502,9175.121737560828,9117.658709510817,9152.773911786426,9630.894595675843,3951780.259650462,3949319.079471796,249260.98480808837,[-0.26547171  0.78798288  0.55552475],[ 0.07725271 -0.55696133  0.82693778],[-0.96101862 -0.26244438 -0.08698367]
1791,175951.4579380433,101183.12258933354,66460.05350847075,17231.358669636862,25754.512127391856,37516.82167871287,22001.600383261175,9238049.512016118,9115440.86711086,1853992.563876277,[-0.53898093  0.82887312  0.14989636],[-0.18497223 -0.29008356  0.93895517],[-0.82175716 -0.47835226 -0.30966801]
266,80055.03147491689,39208.42875384029,186845.24437950848,10272.860201476018,19824.79197903572,9067.172762540327,9006.676232449423,3397491.948923878,3381724.889226475,360573.0292244062,[ 0.83076432  0.35334843 -0.43008782],[ 0.40064714 -0.91598367  0.02134902],[0.38640977 0.19004946 0.90253459]
435,161545.7216251363,194071.9846378493,14423.853125299862,13812.907408989406,7132.2359419335,8333.546025680318,10678.417937376582,5285510.965172878,5282142.946497748,293327.05141723447,[-0.28114756  0.16372354  0.9455954 ],[-0.71548931  0.62090511 -0.32023724],[-0.63955539 -0.76659732 -0.05742351]
992,130746.14928047026,117151.25396635094,126639.30782647508,20337.757263603155,14909.7786761764,17210.630744453454,18468.21407064401,6868747.252388317,6858322.528818823,772231.2086194063,[-0.77166707  0.22162286  0.59616545],[ 0.19148851 -0.81288399  0.55004706],[-0.60651635 -0.53861204 -0.58483757]
392,101744.49161538256,173909.78183291675,187765.22368376184,8237.059487844203,14805.143983243348,11987.779049318451,13368.881831976767,5466082.334823684,5461597.776845258,314371.3921724349,[-0.85792964 -0.05064755  0.51126466],[ 0.35755048 -0.77346261  0.52336723],[-0.36893683 -0.63181518 -0.68168555]
286,50477.32186803421,71899.48903795873,115234.73870674362,11402.477428477174,8258.611176437738,9647.326425461213,6975.570386997101,2461511.7124180817,2459245.7255769926,264029.1180303616,[-0.23328554 -0.77671139  0.58506177],[-0.90781235  0.38958986  0.15523043],[-0.34850337 -0.49491328 -0.79599387]
1791,23707.56592424321,45059.14133729027,36166.17452393876,13515.097187075247,21668.70721623493,24977.707049234352,19174.026169002034,2992072.3839296913,2800920.8961080085,1320744.5439615885,[-0.9204821   0.36805948  0.1313199 ],[-0.11839504 -0.58290655  0.80386726],[-0.37241819 -0.7243978  -0.58013147]
844,18251.639943649643,145242.43893452745,27856.298592176347,12651.776984981492,12426.821546796233,9593.056074742537,12628.81599915695,4361866.356177245,4351266.325326841,456005.1191831965,[-0.38565136 -0.12759215  0.91377966],[ 0.91451017 -0.184084    0.36025579],[0.12224641 0.97459393 0.18767657]
