N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
276,144197.47481602518,199211.47657039564,89037.82486712911,19589.088611652733,4218.686713844723,16440.325806485285,15641.76186650432,4364550.983312693,4354946.6215129355,340602.13446882955,[ 0.62771919 -0.11003375 -0.7706239 ],[ 0.54721364 -0.64171309  0.53736537],[0.55364777 0.75901046 0.34260365]
3278,125933.32024783822,82219.94243482527,149688.14104576444,35120.170581686,37772.52271460758,25399.171572454627,21379.690524969523,12435850.441340927,12366654.007074637,3045427.079095296,[-0.79670861  0.37295465  0.47556306],[-0.0768678  -0.84302391  0.53235517],[-0.59945537 -0.38757646 -0.70031261]
380,146580.1720015473,14865.863795067073,14174.736394602467,13369.632169103048,9181.90214774359,11067.127607025728,13087.077154303419,2905070.5111923944,2902144.8297412004,284521.3496314101,[ 0.0407689  -0.87925078  0.47461139],[-0.1314179   0.46616106  0.87488468],[-0.99048838 -0.09804052 -0.09654441]
131,86837.56761695001,189706.91677975593,103425.61963619638,5573.0228203061415,6446.651165524934,9701.718870731002,6763.325238855701,2668744.873858396,2667029.6994060986,125457.86718073465,[-0.82718268  0.50867983 -0.23877528],[-0.42057301 -0.2786192   0.86341745],[-0.37267566 -0.8146264  -0.44440598]
136,111929.8334594313,70942.32876621609,93688.53056478425,7511.628301072798,8328.306232867699,12411.448602591596,12644.79023277799,1901802.6702747056,1899285.399121496,126830.10487548707,[ 0.6580225  -0.71189324 -0.24538625],[-0.30469162 -0.54973481  0.77778831],[0.6885996  0.43703508 0.57864578]
123,143134.6798748733,132850.8625653359,199713.28310900586,9464.028332851158,9329.085787361984,3470.868942922737,6172.795466015912,3100762.5756586785,3099474.2563414024,135718.98547296392,[-0.56841954 -0.43582315  0.69782334],[-0.64346084  0.76403717 -0.0469612 ],[-0.51269619 -0.47571565 -0.71472878]
18,200115.54845217188,36668.05599966124,90013.96316478448,2734.917305516658,2266.5682897051315,2989.8879923204786,2699.2413166171646,944038.3982153274,943965.3623199476,15983.343909494497,[-0.02871274 -0.90177454  0.43125197],[-0.43596148  0.39953172  0.80641924],[-0.89950718 -0.16485474 -0.40461061]
58,142127.6126301921,47148.84501352872,176941.10213946004,5667.026918870931,4257.55015332935,6715.318113686333,4311.956272490515,1766582.6147596166,1765960.8473787862,66877.86044707558,[ 0.24810139 -0.96697961  0.05827631],[-0.75010085 -0.15369174  0.64321658],[-0.61302073 -0.20329603 -0.76346336]
595,90784.03778754185,38827.13669868956,74612.92269729907,13644.329504895546,12662.435332794672,13795.584090360564,8644.95306479954,3064050.615677336,3033772.700839214,522612.99964607874,[ 0.51804119 -0.83226287 -0.19741284],[-0.43612892 -0.45554913  0.77605835],[0.7358158  0.31593274 0.59896712]
2235,95493.49028358929,152856.41172286868,100475.71585441733,33089.49555764331,22770.87066737172,38190.171740260135,30118.977330541165,10071156.19349424,9897776.185776029,2160436.733956644,[ 0.37715775 -0.6664083   0.64315784],[-0.80707081  0.10415219  0.58119621],[-0.45430027 -0.73827657 -0.49855689]
10,141188.94911602262,137324.34572026916,171795.1815959948,2208.4216853622047,2599.677679656253,1820.5592062420105,1542.4840289258905,826553.5884536235,826498.6159200114,11215.837576155242,[-0.30938151 -0.60240959  0.73578921],[-0.78261255  0.60083156  0.16284669],[-0.54018579 -0.52545611 -0.65733948]
454,163767.48921899582,193923.63139232984,13593.234296893297,13168.322404278635,7998.023616722468,9303.306684543892,11151.968118742698,5426616.766937162,5424210.018985601,301055.53272075445,[-0.37461139  0.25373826  0.89178652],[-0.66612554  0.59538017 -0.44922068],[-0.64493648 -0.76232497 -0.05401466]
881,18774.88171023079,144535.46001288583,27126.286118397707,12548.372648526254,11716.709737082563,11273.641754342978,12064.027862423396,4435102.434870632,4422218.400914704,493790.54209049745,[-0.57536247 -0.07947149  0.81402845],[ 0.80808759 -0.20892799  0.55076632],[0.1263031  0.97469656 0.18442925]
