N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
3675,110196.87381576715,144380.18332890884,123090.69850910122,45686.14624385845,29734.70925086923,30325.347581446673,18258.210375753766,13727796.63389368,13442835.320755975,3642515.7901484533,[-0.02513467 -0.63899925  0.7687966 ],[-0.8658795   0.3982653   0.30271677],[-0.49962079 -0.65807653 -0.56330662]
1084,107190.67515348361,23878.879939978055,72209.50477678482,15697.41149908884,18128.20422334847,23910.24042781662,17816.217211677973,4425466.370096226,4409708.446615535,952068.6793668593,[ 0.45706487 -0.77999004 -0.42744267],[-0.36262053 -0.60223956  0.71120592],[0.81215642 0.17006776 0.55810295]
1044,101727.82163810918,127888.16498312858,45354.51969705679,26547.761122487445,10246.51402444403,18095.14184465694,17086.30110182728,5561742.792496944,5534639.429168708,928531.2240555877,[-0.17781342 -0.20470591  0.96253721],[-0.77457581  0.63242273 -0.00859115],[-0.60697175 -0.74708566 -0.27101349]
92,50729.864421075865,170450.38673660826,87351.95958477542,4101.737422383206,6897.884845555097,4916.746942538076,6015.6505565553,1901976.7823739143,1901921.3973868156,69326.1218831527,[ 0.95283811 -0.147051   -0.26547229],[ 0.1636225  -0.48780339  0.85748209],[0.25559188 0.86047885 0.44073681]
185,67864.73415779212,81513.56679306945,30758.90710007965,6251.720560237378,4502.718875822725,13735.321674089424,7015.236041082311,1515405.0911417871,1507082.473224943,191332.51456943966,[-0.76483432  0.64402141 -0.01627547],[-0.19428918 -0.20650163  0.95896235],[-0.61423137 -0.73660947 -0.28306593]
279,82800.49137154406,35027.48400992076,188996.46401673733,7291.455001941419,16264.492439602805,9021.823365670258,9479.936046728842,3509590.2336160773,3501602.4233192718,293343.8853681408,[ 0.85394111  0.29495434 -0.4287033 ],[ 0.33902647 -0.94034996  0.02833741],[0.39477288 0.16954024 0.90300082]
1884,24345.21060078921,39361.24456352214,38364.91091594301,13855.467178334598,18175.531945484498,25938.560117681922,17773.206064678667,2951972.442361462,2766839.022571144,1323162.0216426793,[-0.90339969  0.39362325  0.17008747],[-0.1583473  -0.67486359  0.72075326],[-0.39849108 -0.62419538 -0.67200074]
208,97622.39461586424,168427.64126922312,175834.09660228525,5632.21121174832,15159.062909007145,7468.8608885788,8315.833193546765,3791101.3597183423,3786157.7303930954,227729.9855076585,[-0.89792276  0.06599861  0.43517687],[ 0.23558689 -0.76308724  0.60182778],[-0.37179771 -0.64291683 -0.66964499]
4,33456.902115110504,74387.49568392646,65261.668323700505,2377.222226821529,560.1398361023383,1710.378790829109,1615.2544810617335,208999.3566211606,208951.7134101467,5016.614620931542,[-0.43151011 -0.47750813  0.76536593],[-0.84326893  0.51490192 -0.15418667],[-0.320463   -0.71194241 -0.62485316]
9,22062.07437305387,10808.158243342034,60201.8081857839,1849.0500655365092,2736.525976402435,3687.4033149070315,4188.481531274855,195618.49946645278,195478.22861132873,7956.759203922494,[-0.85530089 -0.35478636  0.37760696],[ 0.39156066 -0.9198741   0.02262509],[-0.33932379 -0.16720729 -0.92568952]
7,2915.1398273182745,6815.209347918679,107165.99560908064,1583.713388360539,2972.7783103749175,2165.4665796137474,2175.9037945881128,284395.1420649464,284285.6777714645,8859.126167362327,[-9.18123200e-01  3.96294927e-01 -3.47445017e-04],[-0.39536969 -0.91591905  0.06910209],[-0.02706658 -0.06358161 -0.99760953]
251,150518.22235712747,198521.46730158795,97115.11480791388,15793.971560111613,4365.478524664999,11408.378380281893,13408.862809672975,4246287.441334201,4243269.286630257,236130.5820572167,[-0.49988254 -0.044256    0.86496176],[-0.65706189  0.67002529 -0.3454501 ],[-0.56425802 -0.74101789 -0.36401288]
400,146133.31804756768,14669.211613110156,13587.87491299104,14521.344947445836,8637.237996392976,10034.08129897613,14479.0647221664,2972083.026566364,2967857.8810366257,266974.8839910035,[ 0.02073793 -0.79110479  0.611329  ],[-0.13319324  0.60382399  0.78591103],[-0.9908731  -0.09772306 -0.09284775]
9,125513.62974732007,178531.63258317122,25766.034593940698,2093.5759880842234,1709.6244228908035,1099.4945118729204,1214.2554396700325,659308.6896198541,659273.7320821821,7957.949760603725,[ 0.26454308 -0.04697421 -0.96322914],[-0.77703959  0.5811767  -0.24175013],[0.57116235 0.8124205  0.11724545]
935,175227.92531557256,84260.50363586016,53696.29173274496,14972.145265154139,11875.646921641639,19480.209688792806,16000.146515278306,6216402.515099511,6194137.319798366,684113.1957537882,[-0.47698164  0.84969565  0.22473498],[-0.13271073 -0.32239201  0.93725731],[-0.86883622 -0.41722978 -0.2665388 ]
484,150553.38522685523,16416.287215759912,172618.7294981521,12779.843380626833,7793.955088947423,13081.291854223766,12503.827244945427,5068545.0943323895,5061672.239715597,342715.2170151056,[-0.19335768 -0.9465931   0.25801997],[-0.7300103   0.31450869  0.60676952],[-0.65551336 -0.07103368 -0.75183539]
55,128441.23008005515,169721.7073327396,137346.54314087357,7835.587619045542,8420.516595102285,4055.6398977749063,3304.802865233713,1880563.7477570123,1878989.7783145644,87032.89024619717,[-0.50775589 -0.27612304  0.81605148],[-0.69653489  0.68901195 -0.20025406],[-0.50697446 -0.67008851 -0.5421792 ]
1183,92453.32430999508,79304.93467177707,154728.45083567622,19653.444742321593,19759.94031310718,17419.50424830746,21919.095144171617,6843093.8225343935,6840029.7439244855,830623.6576178346,[ 0.1986398  -0.91413302  0.35341625],[-0.85974861  0.01058575  0.51060775],[-0.47050458 -0.40527615 -0.78382184]
5,98265.6456247244,126484.1190511979,88597.52679614254,1709.1684109240978,2744.4903303482633,932.0897525151904,2547.493670401428,409354.6856476154,409336.95840404124,4912.32533405735,[ 0.82218429 -0.55719368 -0.11639671],[-0.18919776 -0.46036142  0.8673359 ],[0.53685864 0.69108796 0.48392173]
67,118317.83232310995,77343.64060217158,103886.57308171495,4928.2125976062225,5988.927137935341,9420.887097197347,6011.5986297616955,1438758.5137948983,1437374.1357376103,86840.67515439267,[-0.72496959  0.54734904  0.41812453],[-0.140602   -0.71186942  0.68809375],[-0.67427752 -0.4400579  -0.59304205]
863,19108.254383608437,146181.79975135298,28703.702317689356,12110.267292296097,11264.447165494224,12669.954899002774,12500.289969663107,4446054.063073805,4435576.221449425,492787.5743937493,[-0.68604897 -0.0544716   0.72551337],[ 0.71623763 -0.22576964  0.66032699],[0.12782982 0.97265663 0.19390364]
5,7864.144652423859,170923.5435135712,74626.27078745287,1552.8307158220264,1984.5481125504455,2351.894015087967,2079.858125807434,417463.86230552505,417447.75761199405,6158.931125244614,[-0.98662054  0.10117494 -0.12784187],[-0.15750612 -0.38906628  0.90764489],[-0.04209196 -0.91563697 -0.39979646]
212,148465.7491742155,79770.8371047862,118690.08285558001,9582.754271528596,8542.742049726348,8479.085806711493,6038.236014936838,3006794.0044779363,3005638.907380304,206480.075008878,[-0.21353552 -0.6662972   0.71445827],[-0.65972681  0.63773207  0.39756553],[-0.72052975 -0.38645291 -0.57575257]
24,201549.151705166,88098.65184264659,138956.82240757483,2108.5964368565533,2591.5123313261,4363.8541039670545,2986.918562026908,1274819.8396440905,1274758.1230307366,22642.27419532333,[ 0.48358225 -0.86141827 -0.15526354],[-0.40758217 -0.37858764  0.83099229],[0.7746128  0.33857047 0.53417699]
84,140869.3372978658,196744.0451019975,125998.60783624696,15534.052082280085,4281.756776079478,4215.841087715366,8587.938237278684,2504792.757360612,2501839.7546290895,131632.25808558465,[-0.1389636  -0.46159442  0.87613909],[-0.84434321  0.51752857  0.13873976],[-0.51746851 -0.72048232 -0.46166174]
3,163404.6108963554,172497.9090269635,145419.53898483922,1025.9284901130056,1052.4950620826946,1563.617349823442,1653.604786790265,482518.5252060389,482512.7158616837,2368.4820812244934,[ 0.80742524 -0.39681691 -0.43657854],[ 0.06318607 -0.67758106  0.73272876],[0.58657651 0.61920937 0.52202275]
355,190762.68961168625,50811.7076031714,18409.62847436431,11070.126557935178,9783.935446864825,10367.8100661489,11262.406475918388,3748305.7966519925,3744678.4197820383,264187.3877958792,[-0.25955711  0.75726214  0.59931975],[ 0.08354178 -0.60065579  0.79513106],[-0.96210752 -0.25645016 -0.09264146]
131,40313.57571788608,79207.36429577891,187419.6592162242,5194.293537927433,10802.249199082085,9618.22556628493,9320.950408896279,2379561.5321022817,2377587.848939348,138648.1550940382,[-0.98018231  0.11476956  0.16146389],[-0.04199021 -0.91692296  0.39684898],[-0.19359613 -0.38220444 -0.90357086]
345,13643.123977328518,45306.978895165244,149927.40706111115,9849.5707370899,15148.912013223224,12055.86798089905,11536.940417629363,2942714.166280584,2933129.723730583,342850.5508182037,[-0.98664074  0.15696515  0.04361182],[-0.13715732 -0.94480468  0.29754324],[-0.08790857 -0.2875866  -0.95371171]
865,18380.43922072813,109721.0867643045,80229.41650179119,10681.505530409697,14755.54445056628,25221.889391087872,19294.774600556506,4126888.1424098033,4088184.0326316003,690768.9931445317,[-0.93529419  0.29670134 -0.19285509],[-0.32939707 -0.53080275  0.78086235],[-0.12931489 -0.79386193 -0.59418928]
4,150523.30585349732,65657.1285316427,67529.51964958003,1225.384680810112,1440.462735227583,157.2980414058549,1205.6070663185826,355143.37739760673,355134.1812037546,2930.1921991832896,[ 0.41550724 -0.01726724 -0.90942596],[ 0.32972097 -0.92895883  0.16828418],[0.84772508 0.36978011 0.38029575]
197,163719.60008135682,153093.94331126206,147741.82790238142,7891.141782452202,5391.093053417598,6594.518228025648,7357.532569589779,3770503.373872126,3770391.6209723144,126326.02345854063,[ 0.79057458 -0.48447737 -0.37453106],[-0.05310254 -0.66354813  0.74624661],[0.61005898 0.57007505 0.55031126]
19,172747.28478249288,19157.185385495377,65092.843993238115,3377.686092903526,3219.3085148717646,2037.3808252013018,3341.438984539565,809272.5855410738,809145.6658846192,16819.343295832812,[-0.34817742  0.5427155   0.76435095],[-0.11132148 -0.83353744  0.5411311 ],[-0.93079537 -0.10332095 -0.3506348 ]
