N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
430,95680.88412096271,183975.40999921967,196205.42592957616,20711.03747788051,14229.480175059754,5828.425815503937,8062.967098666152,5940179.959552446,5926016.278640896,507362.1590951222,[-0.26258958 -0.63615194  0.72550494],[-0.90476595  0.42363169  0.04398593],[-0.33532862 -0.64486192 -0.68680989]
1539,106461.28022125478,25238.14353501083,75220.0764841532,19732.768600787476,17549.028720336337,26823.56158112263,20795.676104837414,5364976.698676769,5328434.898100319,1203341.749262865,[ 0.38006633 -0.88944543 -0.25384328],[ 0.46686149  0.42138249 -0.77748128],[0.79849229 0.1769848  0.57540111]
7,85702.98963224563,58948.300272809916,33806.80644622169,2070.7561164844387,1443.4337267154554,1083.726700137857,1581.449286165724,289442.14376799914,289435.2835283876,5947.4180805469205,[-0.01329328 -0.48266462  0.87570437],[ 0.62104493 -0.69036318 -0.37108203],[0.78366223 0.53891886 0.30893361]
174,111528.83606225603,69613.3340304334,97423.81196446948,10142.691349671812,7266.538842660096,12478.330337404203,14263.49341401842,2169577.9179129894,2168190.9831542945,135363.6593412573,[-0.67961409  0.66949501  0.29983517],[-0.27223754 -0.60972945  0.74439017],[-0.68118383 -0.42427165 -0.5966424 ]
87,78327.3307695066,127984.87593544507,133344.62387260533,6867.360721144044,6331.652139930767,11362.436342622217,10706.77765312677,1876946.6802344285,1875418.9923900117,95078.41836996646,[-0.87588485  0.03436333  0.48129502],[ 0.28347799 -0.77052704  0.57090131],[-0.39046889 -0.63648035 -0.66515172]
837,19018.681796588306,147267.56100419845,28698.54580522624,12229.969131917802,12792.823928004906,12543.464013688417,13603.859167456045,4412450.897482161,4400457.729561667,493422.6050328326,[-0.66354606 -0.06173225  0.74558417],[ 0.73757844 -0.22080969  0.6381388 ],[0.12523846 0.97336129 0.19204978]
12,53656.62120904534,49201.439198146865,194088.91627082243,4410.405873919298,2085.8994395531195,2137.3781805176345,1583.3765486646876,718306.0264005843,718118.8388987374,17618.72787164708,[ 0.39195542 -0.91175553  0.12277135],[-0.88281689 -0.33520792  0.32904406],[-0.25885381 -0.23735522 -0.93629974]
28,185115.56140189033,169424.7496883932,161007.2632348053,3702.35556256894,4220.4545239630115,3172.5402864029375,2669.9834623660036,1577948.556000323,1577850.012302365,31054.058393887215,[-0.78209948  0.49556103  0.37780903],[-0.05287696 -0.65687482  0.75214327],[-0.62090614 -0.56827347 -0.53994522]
1651,77509.43781842203,168965.92466031652,130519.78052350285,30550.98591463402,16548.637473339328,27389.9059823464,20203.622509229113,9388998.051026005,9279561.566941202,1599585.6943139604,[ 0.40414869 -0.66823715  0.62459823],[-0.85032382 -0.02284543  0.52576373],[-0.33706564 -0.74359747 -0.57745091]
52,143903.44802093395,148407.55246282197,93741.47814676234,3671.282250749751,6267.259552578325,6984.395746560696,5678.400970262164,1638077.1673082863,1637613.4223154867,60118.52362154701,[ 0.47770499 -0.75090039  0.45601157],[-0.60851351  0.09156727  0.78824282],[-0.63364757 -0.65403673 -0.41319089]
1875,25256.07694213117,38742.22107622576,36462.086344949086,14397.573090180333,18187.35720379514,24921.929494433458,16756.505654781093,2878189.1732144677,2704508.3336014855,1324663.1196777842,[-0.89931153  0.3744698   0.22585647],[-0.10083819 -0.6801239   0.72612888],[-0.42552372 -0.63024111 -0.64940412]
15,69094.32497813783,41818.03161518826,178170.87008447488,2303.4919432781035,2896.5174215630154,3491.1721761451204,2711.795561569408,757830.0851347196,757773.255080643,16695.953511187643,[-0.88771639  0.38388938  0.25414279],[-0.29538294 -0.89833279  0.32518782],[-0.35314095 -0.21360511 -0.91085911]
4,166103.45651716128,63319.80920060865,87525.72721078791,2053.8351420758645,1520.3563787987812,3594.9592543874783,3720.675865615452,396381.15587835404,396357.2454423167,4755.660641528494,[-0.25241033  0.9456317  -0.20510904],[-0.4834349   0.06037957  0.87329548],[0.83820029 0.31958567 0.44191094]
17,172722.88412024186,55171.41599721898,198375.2683126936,3094.3381098182304,3369.950197690016,3721.7666083632766,3553.736848583657,1108319.5686428666,1108263.6038977813,19397.336413747973,[-0.0983871  -0.93330185  0.34535146],[ 0.75983343 -0.29455607 -0.57956007],[0.64262986 0.20538835 0.73813447]
2829,156792.20297978615,106066.49774109999,97097.7391539111,26355.74799757016,19681.708846902853,41654.364933137695,20431.11741030048,11622571.783173215,11411928.221217887,2591218.4568851576,[ 0.35072858 -0.85977989  0.37117114],[-0.58310514  0.10964175  0.80496402],[-0.73278773 -0.49875569 -0.46288758]
365,186934.8748762716,172041.7593028778,105350.47380570909,10278.42024782574,13894.335059883673,9208.570541546756,15939.662153853707,5265871.046714647,5265243.013697899,215030.66682102106,[ 0.37354556 -0.74398592  0.55402948],[-0.63177507  0.23327324  0.7392184 ],[-0.67920834 -0.62615377 -0.38289358]
2,25701.414445200237,64022.257561055594,97797.13393521013,1244.038496499934,140.97158097057763,92.20925408079347,417.89390575518337,169264.68964880696,169256.41047316426,1674.1193645219807,[ 0.05564158 -0.84200602  0.53659097],[-0.97507577  0.06978324  0.21061231],[-0.21478189 -0.53493566 -0.81713682]
86,60597.18290440583,56556.32418509127,65834.90113489093,3386.4028951475725,8698.573697894215,4184.820567379262,5189.405675106837,985680.8391870366,983321.3760170606,82153.17835094384,[ 0.62930869  0.20059287 -0.7508216 ],[ 0.52732177 -0.81989811  0.22293239],[0.57087856 0.53621786 0.62174599]
122,13983.524461079534,102346.7359472964,167910.31827055168,6134.226420612061,8836.250303219338,7873.314096951479,6435.047611208969,2181310.069010433,2179816.236016127,128557.86162144542,[-0.99383412 -0.03702618  0.10451225],[ 0.08579223 -0.85390983  0.51330079],[-0.07023847 -0.51910217 -0.85182128]
