N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
17,193269.94867068017,17478.8899605076,141553.45635063486,3003.8875647127293,3333.207296213093,2746.1735156184836,2530.358758516109,990556.9068534328,990478.4327709595,18975.605723223365,[ 0.42307797  0.62615352 -0.65493267],[ 0.41662016 -0.77630142 -0.47305787],[0.80463201 0.0727178  0.58930421]
361,190102.08553534813,48633.37108293322,17901.54431838088,9183.606274774613,9671.595821808833,9194.153447799887,9559.947617707727,3753429.6970053315,3751134.4656743393,247963.43617132865,[-0.24200071  0.69722376  0.6747701 ],[ 0.10377007 -0.67285447  0.73246067],[-0.96471106 -0.24727695 -0.0904803 ]
198,100357.9122746863,188820.27201198327,12884.842929319222,8439.285392161535,10087.203961097555,8180.760122191781,10650.908848893692,3020769.031465845,3019538.0726867397,158463.11896048076,[ 0.61205083 -0.37322828  0.69720472],[-0.63718344  0.28943412  0.71430046],[-0.46839197 -0.8814355  -0.06066649]
1397,16960.642633658965,130419.47029111435,51449.78738705431,11200.099393277376,20958.962666096795,32837.389486745626,14337.975981113443,5475495.688813259,5321623.081915564,1418923.4067938759,[-0.99213102  0.09759491  0.07843003],[ 0.03765296 -0.36484723  0.93030573],[-0.11940808 -0.9259383  -0.35830152]
115,10630.874244991042,150330.93288713074,126584.3637983878,4601.76454178555,5161.755915232664,5586.117132955692,4549.252465956807,2112173.802958173,2111743.5403070603,81964.05094435599,[-0.98878918 -0.04898892  0.14105334],[ 0.13924663 -0.64358372  0.7526024 ],[-0.05391046 -0.76380631 -0.64319016]
2297,120378.8152834017,99837.9488212502,141743.7915426975,34139.48788811944,25371.582563317854,20263.45078098345,24514.394475850226,10316210.587963989,10238329.472038079,1900763.4411353928,[ 0.55124563 -0.82680659  0.11188887],[ 0.60145554  0.30084563 -0.74009671],[0.57825556 0.47527125 0.66312724]
26,169975.13980389808,168408.04868097694,76287.36805475171,3111.461885879588,3287.148906855567,2182.6072010903404,2589.967047278412,1280772.8406436173,1280713.8685452498,21912.87255319787,[ 0.34731543  0.0728881  -0.9349114 ],[-0.64907063  0.7382472  -0.1835712 ],[0.67681557 0.67058064 0.30371416]
1739,23763.147261931786,41026.53253858451,35928.35354436294,13246.666083261374,17277.102788278014,25464.557236541383,18156.547543292596,2795714.6044211597,2628607.170975843,1218934.484394069,[-0.89840049  0.4271343   0.10214128],[-0.20299107 -0.61010124  0.7658793 ],[-0.38944984 -0.66733257 -0.6348197 ]
22,200077.49770887214,65554.04245412858,200258.5852431938,3282.4075582124738,3766.9705549064147,2288.618783393037,2834.5363329709717,1363105.0906237033,1363007.0513174005,22047.117482736998,[-0.68361805  0.5189751   0.51315807],[-0.24187087 -0.82447457  0.51160548],[-0.68859628 -0.22562476 -0.68915066]
893,173515.15833402955,84535.83064123023,52768.98097492242,15920.622668495082,11358.497882880476,19552.16957655866,17600.184869279958,6028921.878973986,6008973.510543154,647121.6347505457,[ 0.45780634 -0.88453094 -0.08954534],[-0.19634286 -0.19882334  0.96016601],[0.86710025 0.4219885  0.26469392]
2,203477.14671910045,23434.06998640229,112876.62459237038,239.76278706104495,320.6861360955063,317.90025449125096,329.90992701145296,330737.0515645461,330736.5903362007,552.3498830813704,[ 0.47785321 -0.41188248 -0.77589248],[-0.12105258 -0.9057111   0.40624336],[0.87005896 0.10020091 0.48265639]
3,139250.50598602323,199623.681844409,38643.135408604154,1584.9055956144878,549.0695932995166,761.1383356544947,1266.278059951981,426860.50493899704,426856.825418943,2318.282340108727,[-0.2183108   0.33007393 -0.91836354],[-0.79564305  0.48469778  0.36334584],[0.56505976 0.81001189 0.15680627]
23,193889.83525815644,50140.49530162638,190853.353254748,5146.642242899695,3405.4883739889324,1915.8697413151451,3828.3822040675864,1327034.0019715298,1326938.3924808379,24973.296117224596,[-0.3220374  -0.78253937  0.53284524],[-0.63635211  0.59564242  0.49016946],[-0.70096213 -0.1812243  -0.68978971]
482,174202.85749092902,123801.76691113999,80869.17290420413,10834.576529470536,13686.41588342341,11277.1669784936,10160.315432572097,5033517.309025336,5025339.095874756,399573.9831289558,[ 0.4784862  -0.10251678 -0.87209017],[ 0.43587059 -0.83443833  0.33723805],[0.76227802 0.54148221 0.35458317]
433,100741.85816005117,174318.01442650674,187206.86077798784,9852.61933376812,14325.798785767094,11930.867193541955,12291.538170535494,5734901.959319593,5729110.765981626,356866.9843428199,[-0.80341805 -0.15382222  0.57520272],[ 0.46955199 -0.75770001  0.45322359],[-0.36611525 -0.63421559 -0.68097739]
427,149858.59999406405,16337.547824720798,174231.74079458386,11998.641120830063,7784.522966291175,13571.032751218396,14180.64903975019,4775721.600418323,4772268.442674092,285092.7724280209,[-0.23285596 -0.92945438  0.28616893],[-0.7231473   0.36223488  0.58808492],[-0.65025848 -0.07000321 -0.75648097]
