N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
1869,72111.05185472398,166238.31835812278,132038.33460970424,33433.36686918994,19228.37384798827,28237.276794790916,19662.63337548553,9891387.770527383,9750914.554596778,1878189.1137292576,[ 0.4657401  -0.66439884  0.58451718],[-0.8257777  -0.08888019  0.55694838],[-0.31808387 -0.74207445 -0.59004082]
603,145589.55689873477,15784.171793462978,176350.26493042617,17830.401703366224,7885.8423305319275,13581.361030531581,14372.603557177377,5655580.233477268,5643660.692785526,462048.3485356648,[ 0.02583721 -0.99740079  0.06726141],[-0.7712178   0.02292239  0.63615853],[-0.63604681 -0.06830976 -0.76862099]
35,193108.0761840355,85568.82854238324,5053.20009094895,3561.122699212299,2788.9528427698556,1981.0408952764717,3380.805660813811,1250221.7424046649,1250152.1878352568,21264.80553015916,[-0.03773695  0.02624868  0.99894291],[ 0.40390764 -0.91395633  0.03927391],[0.91402108 0.40496275 0.02388789]
2,63190.60591859309,90547.88684328404,121470.09014181577,753.2230843049729,441.2297238392566,65.27896348002832,94.87009449265315,232153.92125583816,232150.6592195881,1230.6820761546505,[ 0.4165651   0.61160617 -0.67261535],[-0.8235834   0.56716696  0.00565956],[0.38494662 0.55159726 0.73997065]
54,131747.69410446362,198784.89926535077,124232.04854979756,12198.11135129114,3500.7075036536025,3412.915765855037,5026.942854221008,1978194.7883290092,1976504.0859682143,89047.62468278693,[ 0.00290154 -0.53134986  0.84714751],[-0.87142825  0.41419805  0.26277897],[-0.49051441 -0.73899074 -0.46183146]
354,164709.45203891068,185610.07107628885,196709.5702694534,10422.612878910004,11042.482222474027,6057.0292532135145,11065.369063793058,5963881.838017108,5963641.682313865,225781.7407356923,[ 0.062715   -0.75119831  0.65709051],[ 0.85165772 -0.30297443 -0.42765128],[0.52033254 0.58643636 0.6207628 ]
1789,24838.824274404233,40081.05773236504,38010.20102951289,14056.558864753837,18420.056824634237,25651.109030351865,17436.6916301946,2889846.816204808,2712904.585159656,1299653.9982419028,[-0.90092133  0.40231863  0.16272823],[-0.16066422 -0.65751774  0.73610966],[-0.40314733 -0.63703229 -0.65700996]
5,131948.28205175948,82592.18672353089,152742.72609971432,1364.3791030816317,1898.8633272426632,2895.2450931408953,1897.9290753051432,487718.84727590566,487687.6415613283,7153.673881675841,[-0.0458748  -0.86160804  0.50549687],[-0.79494532  0.33792964  0.50385067],[-0.60494417 -0.37872832 -0.70043373]
1469,174393.800180166,98989.0261141978,63858.62891045288,14636.269791229937,21720.83819336524,21409.747598450183,20385.84972224165,8145494.254748265,8127167.134964981,1042196.7001915429,[ 0.10345183 -0.66270493  0.74170068],[-0.55438939  0.58070546  0.5961825 ],[-0.82580272 -0.47286715 -0.30732154]
455,193574.00450481786,42358.098783189154,137208.55569989202,6878.439135297931,16731.85561336171,15972.528758783257,13173.398145966185,5161306.712525465,5154373.51840331,431736.55718292383,[-0.59210874  0.10736006  0.79867457],[ 0.07913835 -0.97854864  0.19020957],[-0.80196282 -0.17583054 -0.5709109 ]
513,191538.05288398254,140208.29702556218,34422.98354844443,9579.360912667109,13503.064574867925,18124.966925322566,12515.34172022566,5455814.268307813,5444694.993052036,483305.1527565895,[-0.59542743  0.72896443  0.33775292],[ 0.09236033 -0.3555045   0.93010006],[-0.79808254 -0.58500206 -0.14434974]
7,200830.09264187468,64425.47647322938,202119.71322194068,1891.2904994346898,3667.445290102723,1831.4567576265886,1697.5833257469537,772955.8206418526,772918.2751854563,11064.84576687164,[ 0.72618757 -0.20319288 -0.65678327],[ 0.00428571 -0.9539693   0.29987365],[0.68748327 0.2205793  0.69188982]
686,19225.15272553091,111612.61823624281,90248.54778216362,10759.131540539312,11973.713197514995,16087.199205370483,13763.653106901183,3832838.9495580727,3816344.1862028306,478272.85668173333,[ 0.84871131 -0.41296881  0.33037233],[-0.51234982 -0.48719409  0.70720547],[0.13109835 0.76947948 0.62507163]
76,27617.341414310155,65335.62710486757,69450.18238791027,4995.6655889916865,10881.230718918952,5063.468245572801,6478.689449648906,872207.6222802236,867986.223472052,97310.17050462987,[ 0.8381731   0.18975976 -0.51132875],[ 0.47049062 -0.72577297  0.50188862],[0.27587032 0.66124491 0.69760356]
178,136581.98259292592,114539.71634186173,167622.5154663123,6963.7604932807435,8967.584975799411,7994.502155249373,6236.411812899864,3268960.611834514,3266409.779173381,165193.6073568595,[-0.778736    0.01056909  0.62726274],[ 0.28610826 -0.88384096  0.37009084],[-0.55831202 -0.46766811 -0.68525487]
96,141379.047104359,54670.16656119394,183719.66633692934,5137.663745470217,9591.348323019927,8239.949726043655,7001.152831389402,2336840.5473243953,2335350.409656431,114887.09984905733,[-0.51371384 -0.62971117  0.58271943],[-0.6200487   0.74192212  0.25512972],[-0.59299047 -0.23025076 -0.77158725]
2655,129525.63623242144,101791.82469030294,139688.32935406663,32089.19584559719,29070.58386852807,20192.54475305492,27473.95596356393,11350919.928982837,11273687.97705114,1974668.9329002288,[ 0.61758642 -0.78650046  0.00200768],[-0.5023407  -0.39248795  0.77045897],[0.60517835 0.47683354 0.63748642]
29,7422.353924735639,142113.138685025,201029.63406807525,4272.655465423812,8129.79806274287,2064.7441518516384,4403.380487947908,1327146.2703236318,1326773.9269538226,44876.50455202978,[-0.99109763  0.12316733 -0.05054999],[-0.12968199 -0.80714845  0.57592878],[-0.03013426 -0.57735707 -0.8159355 ]
116,159253.68835225506,35168.323317184506,60638.85342152658,5750.766292496454,6533.378593828496,6967.7005283784265,5949.966681530628,1877090.166409163,1875891.3766103685,101717.3024717976,[-0.08846943 -0.74325067  0.6631377 ],[-0.39330707  0.63771758  0.66228833],[-0.91514081 -0.20222447 -0.34874426]
6,25305.832322033206,30476.74040516307,154633.48273330252,1272.0308547736706,2668.6917639434864,887.0861813963076,1042.3484679161115,391063.03533272306,391027.09256859537,7113.9387631594545,[-0.9787897  -0.09859495  0.17958218],[ 0.12981138 -0.97662431  0.17132998],[-0.15849206 -0.19100783 -0.96870856]
390,162387.48267119206,193916.72875994886,14158.539295285518,13862.035845253702,6948.014863265886,8681.416905979953,10445.476873007472,5012943.3446257785,5009138.036371942,284368.7593421351,[-0.35497225  0.23121671  0.90583306],[-0.67970018  0.60142704 -0.41987282],[-0.64187411 -0.76473809 -0.05633187]
4,96434.29871215035,99762.24154276488,95664.54944643244,1429.060074553845,1692.4720549839346,1368.2376612006537,1285.2968769645358,337095.27368578856,337091.5722399927,4533.9811339449325,[ 0.59521264 -0.77587252  0.20915004],[-0.56420139 -0.21817486  0.79628922],[0.57218765 0.59196415 0.56760879]
40,133713.57041854927,6464.032789229623,53881.72135737252,3161.253421161337,3576.729749021258,4622.675120030665,2407.0689197147767,913464.3837216666,912977.8051376442,39168.87748340059,[ 0.20556081 -0.89181614 -0.40299965],[-0.31478037 -0.45016286  0.83562355],[-0.92663805 -0.04491508 -0.37326206]
916,111457.22414849653,127651.90367532,49552.38408960718,28642.59096767414,14560.281936053196,15570.471712782948,14247.586400101209,5444062.491946313,5366390.813590862,1004374.5947450178,[ 0.1972698  -0.49966525  0.84345674],[-0.74608595  0.4816025   0.45979864],[-0.63595627 -0.71999561 -0.27778759]
942,19171.29445966196,147535.22511859177,30572.148754405556,12454.667268748923,10627.259144423788,13190.634194541964,11660.07272242381,4695780.737350269,4685388.669674802,539711.6294175356,[-0.6941431  -0.06038793  0.71729956],[ 0.70869025 -0.23201396  0.66627896],[0.1261883  0.97083614 0.20384723]
46,21948.793892371887,23385.265875320172,196448.32973916252,5195.181726212296,3467.3504053748575,3066.9192046529565,3391.1897233304626,1350644.4971977808,1350411.382225648,41172.21619622321,[-0.08860623 -0.98786607  0.1275522 ],[-0.98991894  0.10153992  0.09874279],[-0.11049629 -0.11751711 -0.9869044 ]
127,21752.475809809835,98700.48194240096,36450.30446021777,10114.866498191715,6069.046244897137,11245.599441081282,6473.186986437654,1223502.944793567,1214266.597805643,167722.30061894533,[ 0.64615422 -0.38526872  0.65882679],[ 0.73685898  0.09005833 -0.67002115],[0.19880535 0.91839943 0.34208029]
59,60022.48763405774,76694.59645708703,100324.89380651404,3920.621030827849,4533.80543829629,4606.166191138973,4483.486100650418,1075248.5531186918,1074834.5723157653,46858.964131869,[-0.51455457 -0.50466267  0.69321655],[-0.74245496  0.66665914 -0.06577398],[-0.42894548 -0.54852637 -0.71772181]
43,70305.68866179319,141968.49284134284,200431.7761012402,3322.928762766118,4722.07215129337,2825.7985360090547,3463.0476758451823,1675704.6318294138,1675589.5499234388,35493.75605461467,[-0.66610348 -0.47821302  0.57237965],[-0.69327628  0.68000565 -0.23866359],[-0.27508936 -0.55579188 -0.78448788]
15,98996.84108189824,73690.44188535927,177003.7872482686,2604.6579443479027,2835.5093940861375,3309.7066146796788,2811.121452643813,835916.7024583543,835809.741353044,16388.786813849867,[-0.67069397  0.738651    0.06755951],[-0.58284865 -0.58116928  0.567917  ],[-0.45875597 -0.34152154 -0.82030848]
12,7036.422148719659,22782.342306883802,202177.85867305505,3813.0098686833476,4453.198691198246,1258.6512576410985,1283.004629880011,705478.7086976094,705277.577930897,20313.063495319064,[-0.78316744 -0.61427749  0.09649835],[ 0.62084836 -0.78111303  0.06640604],[-0.03458438 -0.11191788 -0.99311546]
3,116735.84135555853,132252.50909110738,93532.80304311588,1327.3828079387424,600.325159047145,747.1632198067269,1063.543214421024,345840.49620050035,345838.09669567045,2157.3060463189395,[ 0.58245756  0.05921155 -0.81070166],[ 0.56471051 -0.74684555  0.35117484],[0.58467532 0.66235619 0.46844322]
35,76488.34867344523,122599.06252096465,103997.43465385203,7917.862654946563,6308.774856956788,3152.752173424086,4357.553568557568,1054972.664848039,1053737.345389857,57385.34504202815,[-0.4106537  -0.42700172  0.80562589],[-0.80416787  0.58605098 -0.09928893],[-0.4297413  -0.68863182 -0.58404506]
823,119780.61173867965,16051.23942281747,79115.18434654702,12128.05720858813,11501.502502878939,29801.754559682355,20901.908520147153,4247375.878432838,4201246.258638609,757376.413577221,[ 0.23317826 -0.9598856  -0.15571618],[-0.5234956  -0.25885502  0.81175516],[-0.81950001 -0.10776692 -0.56285525]
325,110644.92134602476,96809.55425128233,51371.22684176138,7501.284490578982,11805.778834697758,16893.027327596596,14647.47355078256,2833657.8219235996,2821585.497253344,293949.0612579876,[ 0.46893319 -0.76760069  0.43691056],[ 0.52957743 -0.15153265 -0.83461704],[0.70685883 0.6227576  0.33544531]
