N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
285,96.19156365897533,85.32100547020407,82.24109123595763,10.609268527895354,15.276699346946593,6.951507619824106,9.34198679825353,2595.7889082013144,2584.0093569454084,297.1069792341629,[-0.38942288 -0.37213078  0.84253695],[ 0.67318275 -0.73931592 -0.01539333],[0.62862931 0.56118682 0.53841855]
441,114.59473487448507,40.69957388758593,170.87152396289625,13.703593251355784,12.490277350687998,12.556260900709475,11.522546526596512,4425.067016349488,4414.935726961519,405.71763123589443,[-0.29058274 -0.86786972  0.40294394],[ 0.78601473 -0.45665191 -0.41671319],[0.54565788 0.19563021 0.81485355]
51,70.81817554347685,163.16094328670079,118.80502407563267,6.147099841400436,2.731826338174449,6.6516415395384145,2.751923251395307,1528.8469794946097,1527.8125563999758,64.65984514572956,[ 0.5670434  -0.63132361  0.52904847],[-0.75432116 -0.1400262   0.64139867],[-0.33084947 -0.76277334 -0.55562169]
221,50.995221740326194,22.076338298076717,120.08384592582634,8.368179303086938,9.511338966370825,11.765344277025727,13.745383897961368,1981.238748593055,1980.1244301674665,156.3972717455327,[-0.91885414 -0.01806423  0.39418366],[ 0.08358658 -0.9851928   0.14969448],[-0.38564279 -0.17049586 -0.9067584 ]
455,112.56804560265526,121.18361479208298,35.68604065501858,13.900260518132292,8.984315970327089,13.574308546070021,11.994286079324414,3631.0218357010317,3625.077840690685,381.0903259736359,[-0.69751399  0.69800228 -0.1620711 ],[-0.2621051  -0.03802054  0.96429008],[-0.66691465 -0.71508548 -0.20946982]
121,41.21506609669743,84.65684001103683,76.9667313787926,4.658271387771591,9.190061503886328,12.82418170562425,13.665195949894084,1349.06465311833,1346.9733597024447,100.9790195174023,[-0.94109168  0.2313398   0.24663403],[ 0.02418099 -0.6814525   0.73146276],[-0.33728582 -0.69433737 -0.63571526]
6,86.13342417577014,91.88371915382648,124.1920159437823,2.6580663463302954,2.0362171671171856,0.9226347676601068,2.780340408883713,433.33635687594585,433.3141907229156,5.105302223834277,[-0.48992247  0.82797707 -0.27281853],[-0.72300524 -0.21106038  0.65781223],[0.48707226 0.51952622 0.70203498]
295,15.372630874720185,27.865172122377388,142.55561228444188,7.388688708223116,12.079476695485832,7.699190217371355,6.682158861027576,2520.697769680738,2514.425992618599,254.1678168952835,[-0.98098214  0.18117408  0.06964187],[-0.16367241 -0.9649936   0.20493583],[-0.10433301 -0.18963993 -0.97629469]
150,128.5780069216786,49.98330699977345,27.428575918292797,5.837421549281521,8.261827471266004,5.892405424429596,6.797622744569267,1727.0883212588205,1726.170018157659,116.2222112616307,[-0.1466567  -0.15814458  0.97646408],[-0.37882714  0.92085903  0.09224233],[-0.91377339 -0.35638314 -0.19495961]
497,114.45565870717074,139.7419860734487,91.30919181056423,9.292194502480193,14.600411474654678,12.315330368216564,8.555347703767062,4531.679016758356,4521.569243840757,432.74850625502626,[-0.77504187  0.25764503  0.57700012],[ 0.28276625 -0.67518009  0.68130397],[-0.56511358 -0.69119526 -0.45043952]
7,68.30205777404784,156.91561291547143,47.93132528721469,2.0653182968402946,2.9918462115706004,1.6608777935829155,2.4232271123695464,470.2986990970923,470.2800579730231,8.411308539466308,[-0.05991924 -0.26758117  0.96167042],[ 0.92128729 -0.38566693 -0.0499073 ],[0.38423874 0.88298434 0.269628  ]
32,105.19860397600453,119.631137409951,137.0841468083924,5.415355241060803,3.9442403210002546,2.8434143839883284,4.485584793220294,1189.529530347147,1189.2255722299062,32.538986515769345,[ 0.3367575  -0.82204548  0.4591684 ],[-0.7974403   0.0103118   0.60330974],[-0.5006829  -0.56932846 -0.65205962]
47,139.05424301519102,132.84457545329073,143.2794718394153,6.256529702808428,3.5472176702030085,5.289055926747774,6.044625771439325,1645.0854725495408,1644.8009238177472,44.900545485188985,[-0.6121124  -0.18777795  0.76815223],[ 0.53747621 -0.81131699  0.22996536],[-0.58003253 -0.5536282  -0.59754337]
51,43.63550934144885,30.69247147656346,147.91996605819207,4.232478770092413,5.294252168709402,2.897040382771593,2.7629308260021985,1124.0703864986742,1123.256625323454,48.94447564949486,[-0.7194346  -0.60673732  0.3380587 ],[ 0.63679097 -0.77053666 -0.02775817],[-0.27732854 -0.19530254 -0.94071558]
7,147.64056207557337,135.31087038962963,23.774283395114047,1.1387355068578828,2.279043478946463,2.466162742302417,1.8160480595790118,533.6398115800447,533.6175161907847,8.042926858091313,[ 0.65729562 -0.65014052 -0.38115583],[ 0.17908287 -0.35652959  0.91696018],[0.73204631 0.67097239 0.11791631]
332,172.30159327750184,124.99027486221837,97.17409941201834,8.707352626176185,6.478883486449209,20.374594925273875,12.513877949950254,4283.1683999461475,4270.615373993335,355.39287527630955,[-0.66572586  0.68121943  0.30454747],[-0.12267345 -0.50249417  0.85583342],[-0.73604368 -0.53239055 -0.4180909 ]
169,86.17092026422816,179.7451687302822,103.24141349423192,5.61020313365037,4.870672392851715,11.424506490946433,6.025721827710436,2922.787485177595,2920.190290898749,158.91444283077664,[-0.80601758  0.53353179 -0.25628012],[-0.4509238  -0.27303258  0.84977699],[-0.38341022 -0.800498   -0.46065124]
26,151.9206768385779,107.53730533468355,167.13761763545114,2.9321904932554985,1.7142186436634992,2.2986609753010714,3.218679756099138,1275.7104549183828,1275.6899921673894,12.968668659304559,[ 0.1031175  -0.87651107  0.47020753],[ 0.78773192 -0.21667527 -0.57665436],[0.60732627 0.42986064 0.66811274]
114,62.966213105222444,186.65490133234803,72.84014229070435,8.153434388543353,3.820779406955037,6.691118690211929,3.8211074090050317,2244.5153911995894,2243.960495517092,112.58459610908744,[-0.0509593  -0.34823809  0.93601997],[-0.95258324  0.29846736  0.05918114],[-0.29998054 -0.8886211  -0.34693545]
4,151.50633044832637,163.24120788502077,164.07977099941212,1.2073738688953242,1.2181732323767467,0.6457635890858796,1.6159891366042123,553.2710867591317,553.2695770484562,1.732133523621854,[ 0.33573526  0.49432832 -0.80182376],[-0.76636641  0.63828613  0.0726178 ],[0.54769002 0.59011044 0.59313178]
33,180.19034505396385,110.85726136879022,12.512374299051054,3.9285722016887954,3.246743393941191,3.9669511682718226,3.3946826688862934,1217.840927999278,1217.7720377472497,31.647553844376787,[ 0.38457025 -0.5405074  -0.74830306],[ 0.35936009 -0.6590321   0.66070948],[0.8502741  0.52299947 0.05920735]
50,128.4172553146457,118.28586748466348,74.09899663293308,6.784749539713574,4.841301292476728,5.785368342831396,8.716661709394407,1342.8464619090682,1342.7673931484521,36.78559350233843,[ 0.67389811 -0.73874761  0.01064506],[-0.29547685 -0.25627734  0.92033437],[0.67716673 0.62335696 0.39098763]
40,124.54157174650015,64.48892580611816,133.85460379154983,4.886864989477226,3.993256860721988,4.019736783137103,5.811015114325938,1226.9448105607344,1226.8320495805885,29.778997961544874,[-0.74755869  0.47005915  0.46925515],[-0.1683804  -0.81754291  0.55070103],[-0.64249829 -0.33266797 -0.69031006]
