N,MEAN_X,MEAN_Y,MEAN_Z,SIGMA_X,SIGMA_Y,SIGMA_Z,SIGMA_R,LAMBDA_1,LAMBDA_2,LAMBDA_3,EIGEN_1,EIGEN_2,EIGEN_3
109,-246.15124357906666,5.734039404863662,19.457880429006927,11.579548342815237,26.579237729924973,11.836988664273685,11.897342015250358,2596.593080780753,2584.338590915015,301.8288847955853,[0.08150252 0.08892256 0.9926984 ],[-0.01674008 -0.99574937  0.09057025],[-0.99653254  0.02399955  0.07966751]
9,-362.8059592777399,-1.3309115524151136,191.53407615074937,6.515332183526799,3.5850116584805822,3.468919905291419,6.7388868513608555,1231.0037101807964,1230.9831458438316,14.02406148969762,[ 0.43414716 -0.37315871  0.81992001],[0.17161966 0.92776219 0.3313669 ],[ 0.88434322  0.00314761 -0.46682668]
2,-352.5586496060473,118.09439268105339,161.50622593038656,3.564074914709437,0.947352297143361,0.44851644010678626,3.1969732834754154,573.3096009703537,573.3033561607448,2.67588856505227,[ 0.26852372  0.95658771 -0.1132915 ],[ 0.41408909 -0.0084416   0.91019721],[ 0.86972711 -0.29132232 -0.3983793 ]
4,-212.88990614270145,-158.6790200568581,230.48765551590813,0.44663664179745655,1.3391996896777545,3.695304532284955,2.6003644449616345,703.2515756464063,703.2300042743675,5.96584240348547,[ 0.72125917 -0.65934339  0.21225341],[0.3364616  0.60134668 0.72469011],[ 0.60545752  0.45127427 -0.65557054]
9,-274.4516877115149,-188.8473810425394,114.51169264080005,3.4499556752060454,2.9663910686281216,8.374981195225013,5.189395656580994,1057.2022709834155,1056.9689565250828,23.97828594156655,[-0.53714053  0.83814283  0.09485062],[0.32344483 0.100811   0.94086162],[-0.77901444 -0.53605385  0.32524264]
230,-289.1115173592571,230.20963789247313,278.2797164216173,27.320492513549333,17.568118313381675,16.439070821721028,18.139499476651363,7032.06086264758,7027.475241886561,473.558324934216,[-0.49590638 -0.84830506  0.18562164],[ 0.60178482 -0.18161456  0.77773464],[-0.62604464  0.49738786  0.60056093]
60,-207.24214390280358,62.58879446198858,86.57836506276865,11.813989024239184,12.577056109686586,11.856283134739886,12.566478232917277,1812.0273066723912,1809.9705202554326,129.0730596516185,[0.4503124  0.66290185 0.59814704],[ 0.08511641 -0.69873457  0.71029937],[-0.88880478  0.26894448  0.37107266]
220,-320.9781560019557,-258.0432771251508,160.75338496822317,34.908052672105285,19.252172566861145,27.808619013403987,31.481384466580387,6592.648536330613,6577.596308240928,558.4900541858185,[-0.41398462  0.79353674  0.44600021],[ 0.54756701 -0.17431337  0.81840407],[ 0.72717749  0.58302169 -0.36235148]
21,-231.76991606944597,103.35493038639099,166.55696716326372,11.5524394052361,5.202020418626294,8.78593238205319,10.960628454131013,1392.4232568178452,1392.3294407087212,49.71923264744149,[-0.09784317 -0.9012236   0.42216434],[0.63799636 0.26876361 0.721614  ],[-0.76379799  0.33994431  0.54868069]
11,-411.7264864294315,236.74254582690065,8.91798795301501,6.296909162971976,5.407544069096691,3.843465252072688,7.527176490218305,1575.7219797709697,1575.7028038862109,17.243303212004598,[-0.40960053 -0.68974742 -0.59705603],[-0.28459117 -0.52520305  0.80197857],[ 0.8667383  -0.49840772 -0.01882742]
