#x y z mass
#[Mpc/h] [Mpc/h] [Mpc/h] [Msun/h]
16.7581 125.2343 42.3139 0.1494E+15
135.9516 1.8407 0.3432 0.1493E+15
48.5611 111.7682 194.0189 0.1492E+15
79.5185 12.8640 179.2804 0.1485E+15
127.6226 0.4588 13.8344 0.1463E+15
13.3097 23.4315 38.1776 0.1461E+15
120.7221 28.7575 87.6312 0.1451E+15
60.8663 32.1542 34.5520 0.1451E+15
50.6660 146.5977 199.9665 0.1439E+15
128.2632 36.7571 124.0649 0.1437E+15
9.6705 146.5360 158.3693 0.1429E+15
164.6316 80.0018 134.6980 0.1424E+15
131.8596 23.3906 75.0694 0.1419E+15
186.8536 120.1119 194.5604 0.1408E+15
185.3895 131.6229 63.3867 0.1407E+15
177.8534 71.3384 36.2395 0.1406E+15
88.7486 11.4104 98.9070 0.1399E+15
79.7820 123.7516 88.2202 0.1398E+15
22.8937 78.9721 148.9872 0.1397E+15
146.4308 126.1410 169.5242 0.1396E+15
65.8028 29.4390 57.3777 0.1390E+15
165.0988 69.1122 125.5934 0.1374E+15
56.8336 36.9916 27.5531 0.1370E+15
123.1494 82.0838 133.4133 0.1365E+15
49.6551 172.4787 162.0776 0.1364E+15
170.3338 181.4487 25.6689 0.1363E+15
154.7824 135.6188 0.1968 0.1362E+15
117.0777 34.7176 143.2506 0.1347E+15
158.8139 12.0406 101.9712 0.1338E+15
161.9727 169.5945 60.2924 0.1335E+15
11.9435 197.6491 43.6803 0.1316E+15
152.7318 35.1978 152.2608 0.1309E+15
194.6457 116.5793 161.3871 0.1302E+15
69.3539 22.5665 50.8659 0.1302E+15
130.6222 96.7202 113.4833 0.1300E+15
39.5034 96.5828 135.4508 0.1295E+15
60.1087 178.8586 158.6731 0.1279E+15
10.8854 89.6014 191.3203 0.1272E+15
27.1233 185.3369 3.8843 0.1271E+15
170.0930 103.8335 178.0773 0.1263E+15
123.8061 178.0632 5.6611 0.1262E+15
49.5159 152.7243 0.9873 0.1260E+15
27.9201 151.3163 17.4615 0.1260E+15
189.6372 108.9378 183.9102 0.1252E+15
91.9968 154.9891 70.3961 0.1252E+15
147.1479 130.7966 34.6518 0.1250E+15
74.4507 44.0419 69.5395 0.1249E+15
14.6662 150.7112 162.8635 0.1233E+15
3.2193 146.8501 142.9141 0.1229E+15
143.5186 113.1290 1.4695 0.1225E+15
86.4805 52.5678 197.2755 0.1207E+15
24.3005 160.7850 23.6975 0.1201E+15
185.4304 103.9263 186.2507 0.1201E+15
21.8590 175.1877 60.7071 0.1201E+15
180.6912 153.6542 25.8196 0.1190E+15
41.0336 19.7449 28.0758 0.1184E+15
17.1126 192.8746 165.4188 0.1182E+15
196.9735 146.7332 128.7815 0.1179E+15
138.6917 70.4394 176.1280 0.1179E+15
186.3539 186.9771 49.3698 0.1177E+15
50.8328 172.8827 0.0701 0.1176E+15
133.6174 141.6107 188.4408 0.1175E+15
146.9814 178.6082 22.5979 0.1173E+15
134.1988 181.6494 66.5505 0.1164E+15
12.6617 110.4929 42.0824 0.1161E+15
32.4476 124.8544 119.7180 0.1157E+15
12.0241 89.0593 152.5214 0.1154E+15
66.2844 66.8835 34.1801 0.1151E+15
166.7963 40.6202 67.8571 0.1149E+15
12.1394 63.4633 163.6175 0.1142E+15
39.1075 174.2648 181.6281 0.1135E+15
74.1014 63.4187 98.6001 0.1133E+15
140.5769 54.5750 105.7632 0.1121E+15
